Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"CRAWFORD UNIVERSITY, IGBESA, OGUN STATE",CRAWFORD,"Minimum of two (2) A' Level passes in Social Science subjects.

Accounting Technician Scheme (ATS)

Minimum of Lower Credit in National Diploma

Minimum of two passes in JUPEB/IJMB","Five (5) O' Level credit passes at not more than two sittings.

i. English

ii. Mathematics

iii. Any two O' Level Social Science subjects","English, Mathematics and any other two Social Science subjects"
ACTUARIAL SCIENCE,"CRAWFORD UNIVERSITY, IGBESA, OGUN STATE",CRAWFORD,Two (2) ‘A’ Level passes to include Economics and Mathematics.,"Five (5) SSC credit passes to include English Language, Mathematics and Economics plus any other two (2)            relevant subjects.","Mathematics, Economics and one (1) other subject."
AGRIC EXTENSION & RURAL DEVELOPMENT,"CRAWFORD UNIVERSITY, IGBESA, OGUN STATE",CRAWFORD,Two (2) ‘A’ Level passes or equivalents in Chemistry and Biology/Agricultural Science/Botany/Zoology/Economics/Mathematics/Physics/Geography/Geology.,"Five (5) SSC credit passes  in English Language, Chemistry, Mathematics, Biology/Agricultural Science plus one of Physics, Geography and Economics.","Chemistry, Biology /Agriculture and Physics or Mathematics"
AGRICULTURAL ECONOMICS & FARM MANAGEMENT,"CRAWFORD UNIVERSITY, IGBESA, OGUN STATE",CRAWFORD,"Two (2) ‘A’ Level passes in Chemistry and one of Zoology/Botany/Agricultural Science/Biology, Geography, Mathematics, Physics, Geology, Economics and Health Science.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and one of Geography, Physics and Economics.","Chemistry, Biology/ Agricultural Science and Mathematics or Physics."
AGRICULTURE,"CRAWFORD UNIVERSITY, IGBESA, OGUN STATE",CRAWFORD,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
ANIMAL PRODUCTION AND FISHERIES,"CRAWFORD UNIVERSITY, IGBESA, OGUN STATE",CRAWFORD,Two ‘A’ Level passes or equivalent in Chemistry and one of Biology/Botany /Zoology/Agricultural Science/ Geography/Geology/ Mathematics/Economics,"Five SSC credit passes in Chemistry, Mathematics, Biology/Agricultural Science, Physics and English Language.","Chemistry, Biology/Agricultural Science and Physics/Mathematics."
BANKING & FINANCE,"CRAWFORD UNIVERSITY, IGBESA, OGUN STATE",CRAWFORD,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BIOCHEMISTRY,"CRAWFORD UNIVERSITY, IGBESA, OGUN STATE",CRAWFORD,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOINFORMATICS,"CRAWFORD UNIVERSITY, IGBESA, OGUN STATE",CRAWFORD,"Two (2) 'A' Level passes in Biology, Physics or Chemistry.","Five (5) SSC credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Chemistry, Biology and Physics or Mathematics."
BIOTECHNOLOGY,"CRAWFORD UNIVERSITY, IGBESA, OGUN STATE",CRAWFORD,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BOTANY,"CRAWFORD UNIVERSITY, IGBESA, OGUN STATE",CRAWFORD,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS ADMINISTRATION,"CRAWFORD UNIVERSITY, IGBESA, OGUN STATE",CRAWFORD,Two (2)'A' Level passes including Economics.,"Five (5) O' Level credit passes including English Language, Mathematics, Economics and two (2) subjects from Social Sciences or Arts.",Economics/Commerce and any other two Commercial or Social Science subjects.
CHEMISTRY,"CRAWFORD UNIVERSITY, IGBESA, OGUN STATE",CRAWFORD,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
