Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"DOMINICAN UNIVERSITY, IBADAN, OYO STATE",DOMINICAN-UNI,Two (2)'A' Level passes including Economics.,"Five (5) SSCE credit passes including English Language, Economics and any three (3)  of Mathematics, Government, History, Accounting, Commerce, Geography, French, Literature in English and Christian religious studies/Islamic studies","Economics and any one of Mathematics, Government, History, Accounting, Commerce, Geography, French, Literature in English and Christian religious studies/Islamic studies"
BOTANY,"DOMINICAN UNIVERSITY, IBADAN, OYO STATE",DOMINICAN-UNI,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS ADMINISTRATION,"DOMINICAN UNIVERSITY, IBADAN, OYO STATE",DOMINICAN-UNI,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Economics and any three (3)  of Mathematics, Government, History, Accounting, Commerce, Geography, French, Literature in English and Christian religious studies/Islamic studies","Economics and any one of Mathematics, Government, History, Accounting, Commerce, Geography, French, Literature in English and Christian religious studies/Islamic studies"
CHEMISTRY,"DOMINICAN UNIVERSITY, IBADAN, OYO STATE",DOMINICAN-UNI,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
CHRISTIAN RELIGIOUS STUDIES,"DOMINICAN UNIVERSITY, IBADAN, OYO STATE",DOMINICAN-UNI,Two (2) ‘A’ Level passes/NCE to include CRS/Religious Studies.,"Five (5) SSC credit passes in English Language, CRS and three (3) other relevant subjects.",Two (2) Arts subjects including CRS and any other subject.
COMPUTER SCIENCE,"DOMINICAN UNIVERSITY, IBADAN, OYO STATE",DOMINICAN-UNI,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics Chemistry and any other Science subject.","Mathematics, Physics and Chemistry."
ECONOMICS,"DOMINICAN UNIVERSITY, IBADAN, OYO STATE",DOMINICAN-UNI,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics and any of Mathematics, Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
MASS COMMUNICATION,"DOMINICAN UNIVERSITY, IBADAN, OYO STATE",DOMINICAN-UNI,Two (2) 'A' Level passes in Arts or Social Science subjects.,Five (5) SSC credit passes in English Language and four (4) other subjects in Arts or Social Sciences.,Any three (3) from Arts or Social Science subjects.
MATHEMATICS,"DOMINICAN UNIVERSITY, IBADAN, OYO STATE",DOMINICAN-UNI,") Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
PHILOSOPHY,"DOMINICAN UNIVERSITY, IBADAN, OYO STATE",DOMINICAN-UNI,Any two (2) ‘A’ Level passes.,Five (5) SSC credit passes to include English Language and four (4) other relevant subjects.,Any three (3) subjects.
PHYSICS,"DOMINICAN UNIVERSITY, IBADAN, OYO STATE",DOMINICAN-UNI,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
ZOOLOGY,"DOMINICAN UNIVERSITY, IBADAN, OYO STATE",DOMINICAN-UNI,"Two (2) 'A' Level passes or NCE in Biology, Zoology or Botany and one other Science subject","Five (5) SSC credit passes in English Language, Mathematics, Biology and two (2) other Science subject.","Biology and any two (2) of Physics, Chemistry and Mathematics."
