Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.?","Mathematics, Economics plus any Social Science subject."
APPLIED GEOPHYSICS,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,'A' Level passes in Chemistry and Physics or Mathematics.,"Five (5) SSC credit passes including English Language, Mathematics, Physics and Chemistry/Biology.","Any three (3) of Physics, Chemistry, Biology and Mathematics."
ARCHITECTURE,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,"(i)       Two (2) 'A' Level passes chosen from Mathematics or Physics and Chemistry, Geography or Fine Arts.

ND/HND upper credits in relevant field","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any of Fine Art, Geography or Wood Work, Biology, Economics, Technical Drawing, Further. Mathematics., Introduction to Building Construction, Bricklaying/Block laying, Concreting, Wall, Floors and Ceiling Finishing, Joinery, Carpentary, Decorative Painting, Lining, Sign and Design, Wall Hanging, Colour Mixing/Matching and Glazing, Ceramics, Graphics Design, Graphic Printing, Basic Electricity.","Physics, Mathematics, and any of Chemistry, Geography, Art, Biology and Economics."
AUTOMOTIVE ENGINEERING,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,"'A' Level passes in any two (2) of  Mathematics, Physics and Chemistry","Five (5) SSC credit passes to include Mathematics, Physics, Chemistry ,English Language and any other Science subject.","Mathematics, Chemistry and Physics."
BANKING & FINANCE,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
BIOCHEMISTRY,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS ADMINISTRATION,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
CHEMISTRY,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
CIVIL ENGINEERING,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,(i) 'A' Level passes in Physics and Mathematics. (ii) ND/HND upper credit at appropriate levels.,"Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and one Science subject","Physics, Chemistry and Mathematics"
COMPUTER ENGINEERING,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,"Three (3) 'A' Level passes in Pure Mathematics or Pure and Applied Mathematics, Chemistry and Physics.","Five (5) SSC credit passes to include Mathematics, Further Mathematics, Chemistry, Physics and 

English Language.","Mathematics, Physics and Chemistry."
COMPUTER SCIENCE,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CYBER SECURITY,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,"i)      Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
ELECTRICAL /ELECTRONICS ENGINEERING,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,"Two (2) 'A' Level passes in Mathematics, Physics or Chemistry","Five (5) SSC credit passes to include Mathematics, Physics, Chemistry, English Language and any other Science subject.","Mathematics, Physics and Chemistry"
ENGLISH LANGUAGE,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
ENVIRONMENTAL MANAGEMENT & TOXICOLOGY,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
ESTATE MANAGEMENT,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,"Two (2) ‘A’ Level passes in Mathematics, Economics, Geography, Biology and Physics.","Five (5) SSCE credit passes including Chemistry, Mathematics and English Language.","Mathematics, Economics and one other subject"
HISTORY & DIPLOMATIC STUDIES,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,Two (2) 'A' Level passes/NCE (upper credit) in History/ Government and any other related subject.,"Five (5) SSC credit passes to include English Language, Geography, Government/History.",History/Government and any other two (2) subjects from the Arts and Social Sciences.
HOTEL MANAGEMENT & TOURISM,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,.,"Five (5) SSC credit passes in English Language, Geography and any three (3) from Arts or Social Science subjects with 'O' Level pass in Mathematics.",Geography and any two (2) other Arts or Social Science subjects.
HUMAN ANATOMY,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,[Not Available],[Not Available],[Not Available]
HUMAN PHYSIOLOGY,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,[Not Available],[Not Available],[Not Available]
HUMAN RESOURCES MANAGEMENT,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,"Two (2) 'A' Level passes chosen from Economics, Accounting, Business Management, Government, Geography and Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics plus any two (2) subjects listed under the Direct Entry column.","Mathematics, Economics plus one (1) other subject."
INDUSTRIAL & PRODUCTION ENGINEERING,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,'A' Level passes in Mathematics and Physics.,"Five (5) SSC credit passes to include Mathematics, Physics, Chemistry, English Language and any other Science subject.","Mathematics, Physics and Chemistry."
INFORMATION & COMMUNICATION TECH ENGINEERING,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,'A' Level passes/ND and HND in relevant subjects into 200 and 300 levels.,"Five (5) SSC credit passes including English Language, Economics and Mathematics.","Mathematics, Economics and any one of Account, Commerce and Government"
INTERNATIONAL RELATIONS & DIPLOMACY,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,Two (2) 'A' Level passes/NCE (upper credit) in History/ Government and any other related subject.,"Five (5) SSC credit passes to include English Language, Geography, Government/History.",History/Government and any other two (2) subjects from the Arts and Social Sciences.
LAW,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,"Two (2)'A' Level passes in Arts or Social Science subjects.

(ii)   NCE/ND/First Degree (Second Class Lower).","Five (5)'O' Level credit passes to include English Language, Literature in English and Mathematics.",Any three (3) Arts or Social Science subjects.
MASS COMMUNICATION,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,Two (2) 'A' Level passes in Arts or Social Science subjects.,Five (5) SSC credit passes in English Language and four (4) other subjects in Arts or Social Sciences.,Any three (3) from Arts or Social Science subjects.
MATHEMATICS,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,") Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
MECHANICAL ENGINEERING,"ELIZADE UNIVERSITY, ILARA-MOKIN, ONDO STATE",ELIZADE,"(i)        Two (2) 'A' Level passes from Chemistry, Physics and Mathematics.

(ii)       ND upper credit, NCE technical and HND in Mech. Engineering.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and any other Science subject.","Mathematics, Physics and Chemistry."
