Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"EL-AMIN UNIVERSITY, MINNA, NIGER STATE",EL-AMIN,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"EL-AMIN UNIVERSITY, MINNA, NIGER STATE",EL-AMIN,[Not Available],[Not Available],[Not Available]
BIOTECHNOLOGY,"EL-AMIN UNIVERSITY, MINNA, NIGER STATE",EL-AMIN,[Not Available],[Not Available],[Not Available]
BUSINESS MANAGEMENT,"EL-AMIN UNIVERSITY, MINNA, NIGER STATE",EL-AMIN,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"EL-AMIN UNIVERSITY, MINNA, NIGER STATE",EL-AMIN,[Not Available],[Not Available],[Not Available]
CRIMINOLOGY AND SECURITY STUDIES,"EL-AMIN UNIVERSITY, MINNA, NIGER STATE",EL-AMIN,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"EL-AMIN UNIVERSITY, MINNA, NIGER STATE",EL-AMIN,[Not Available],[Not Available],[Not Available]
DATA SCIENCE AND ANALYTICS,"EL-AMIN UNIVERSITY, MINNA, NIGER STATE",EL-AMIN,[Not Available],[Not Available],[Not Available]
ECONOMICS AND DEVELOPMENTAL STUDIES,"EL-AMIN UNIVERSITY, MINNA, NIGER STATE",EL-AMIN,[Not Available],[Not Available],[Not Available]
ENVIRONMENTAL MANAGEMENT AND TOXICOLOGY,"EL-AMIN UNIVERSITY, MINNA, NIGER STATE",EL-AMIN,[Not Available],[Not Available],[Not Available]
FINANCE,"EL-AMIN UNIVERSITY, MINNA, NIGER STATE",EL-AMIN,[Not Available],[Not Available],[Not Available]
INDUSTRIAL CHEMISTRY,"EL-AMIN UNIVERSITY, MINNA, NIGER STATE",EL-AMIN,[Not Available],[Not Available],[Not Available]
INFORMATION & COMMUNICATION TECHNOLOGY,"EL-AMIN UNIVERSITY, MINNA, NIGER STATE",EL-AMIN,[Not Available],[Not Available],[Not Available]
INTERNATIONAL RELATIONS AND DIPLOMACY,"EL-AMIN UNIVERSITY, MINNA, NIGER STATE",EL-AMIN,[Not Available],[Not Available],[Not Available]
LAW,"EL-AMIN UNIVERSITY, MINNA, NIGER STATE",EL-AMIN,[Not Available],[Not Available],[Not Available]
MASS COMMUNICATION,"EL-AMIN UNIVERSITY, MINNA, NIGER STATE",EL-AMIN,[Not Available],[Not Available],[Not Available]
MICROBIOLOGY,"EL-AMIN UNIVERSITY, MINNA, NIGER STATE",EL-AMIN,[Not Available],[Not Available],[Not Available]
PHYSICS WITH ELECTRONICS,"EL-AMIN UNIVERSITY, MINNA, NIGER STATE",EL-AMIN,[Not Available],[Not Available],[Not Available]
POLITICAL SCIENCE,"EL-AMIN UNIVERSITY, MINNA, NIGER STATE",EL-AMIN,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"EL-AMIN UNIVERSITY, MINNA, NIGER STATE",EL-AMIN,[Not Available],[Not Available],[Not Available]
