Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"EUROPEAN UNIVERSITY OF NIGERIA, DUBOYI, ABUJA, FCT",EUN,[Not Available],[Not Available],[Not Available]
BANKING & FINANCE,"EUROPEAN UNIVERSITY OF NIGERIA, DUBOYI, ABUJA, FCT",EUN,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"EUROPEAN UNIVERSITY OF NIGERIA, DUBOYI, ABUJA, FCT",EUN,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"EUROPEAN UNIVERSITY OF NIGERIA, DUBOYI, ABUJA, FCT",EUN,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"EUROPEAN UNIVERSITY OF NIGERIA, DUBOYI, ABUJA, FCT",EUN,[Not Available],[Not Available],[Not Available]
ECONOMICS,"EUROPEAN UNIVERSITY OF NIGERIA, DUBOYI, ABUJA, FCT",EUN,[Not Available],[Not Available],[Not Available]
ENTREPRENEURSHIP,"EUROPEAN UNIVERSITY OF NIGERIA, DUBOYI, ABUJA, FCT",EUN,[Not Available],[Not Available],[Not Available]
HOTEL & TOURISM MANAGEMENT,"EUROPEAN UNIVERSITY OF NIGERIA, DUBOYI, ABUJA, FCT",EUN,[Not Available],[Not Available],[Not Available]
INFORMATION TECHNOLOGY,"EUROPEAN UNIVERSITY OF NIGERIA, DUBOYI, ABUJA, FCT",EUN,[Not Available],[Not Available],[Not Available]
INTERNATIONAL RELATIONS,"EUROPEAN UNIVERSITY OF NIGERIA, DUBOYI, ABUJA, FCT",EUN,[Not Available],[Not Available],[Not Available]
LAW,"EUROPEAN UNIVERSITY OF NIGERIA, DUBOYI, ABUJA, FCT",EUN,[Not Available],[Not Available],[Not Available]
MARKETING,"EUROPEAN UNIVERSITY OF NIGERIA, DUBOYI, ABUJA, FCT",EUN,[Not Available],[Not Available],[Not Available]
MEDICAL LABORATORY SCIENCE,"EUROPEAN UNIVERSITY OF NIGERIA, DUBOYI, ABUJA, FCT",EUN,[Not Available],[Not Available],[Not Available]
NURSING,"EUROPEAN UNIVERSITY OF NIGERIA, DUBOYI, ABUJA, FCT",EUN,[Not Available],[Not Available],[Not Available]
PHARMACY,"EUROPEAN UNIVERSITY OF NIGERIA, DUBOYI, ABUJA, FCT",EUN,[Not Available],[Not Available],[Not Available]
PHYSIOTHERAPY,"EUROPEAN UNIVERSITY OF NIGERIA, DUBOYI, ABUJA, FCT",EUN,[Not Available],[Not Available],[Not Available]
PUBLIC ADMINISTRATION,"EUROPEAN UNIVERSITY OF NIGERIA, DUBOYI, ABUJA, FCT",EUN,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"EUROPEAN UNIVERSITY OF NIGERIA, DUBOYI, ABUJA, FCT",EUN,[Not Available],[Not Available],[Not Available]
