Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"FRANCO BRITISH INTERNATIONAL UNIVERSITY, KADUNA, KADUNA STATE",FRANCO,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"FRANCO BRITISH INTERNATIONAL UNIVERSITY, KADUNA, KADUNA STATE",FRANCO,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"FRANCO BRITISH INTERNATIONAL UNIVERSITY, KADUNA, KADUNA STATE",FRANCO,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"FRANCO BRITISH INTERNATIONAL UNIVERSITY, KADUNA, KADUNA STATE",FRANCO,[Not Available],[Not Available],[Not Available]
DATA SCIENCE,"FRANCO BRITISH INTERNATIONAL UNIVERSITY, KADUNA, KADUNA STATE",FRANCO,[Not Available],[Not Available],[Not Available]
ECONOMICS,"FRANCO BRITISH INTERNATIONAL UNIVERSITY, KADUNA, KADUNA STATE",FRANCO,[Not Available],[Not Available],[Not Available]
FINANCE,"FRANCO BRITISH INTERNATIONAL UNIVERSITY, KADUNA, KADUNA STATE",FRANCO,[Not Available],[Not Available],[Not Available]
HUMAN RESOURCE MANAGEMENT,"FRANCO BRITISH INTERNATIONAL UNIVERSITY, KADUNA, KADUNA STATE",FRANCO,[Not Available],[Not Available],[Not Available]
INFORMATION TECHNOLOGY,"FRANCO BRITISH INTERNATIONAL UNIVERSITY, KADUNA, KADUNA STATE",FRANCO,[Not Available],[Not Available],[Not Available]
INTERNATIONAL RELATIONS,"FRANCO BRITISH INTERNATIONAL UNIVERSITY, KADUNA, KADUNA STATE",FRANCO,[Not Available],[Not Available],[Not Available]
MASS COMMUNICATION,"FRANCO BRITISH INTERNATIONAL UNIVERSITY, KADUNA, KADUNA STATE",FRANCO,[Not Available],[Not Available],[Not Available]
MEDICAL LABORATORY SCIENCE,"FRANCO BRITISH INTERNATIONAL UNIVERSITY, KADUNA, KADUNA STATE",FRANCO,[Not Available],[Not Available],[Not Available]
NURSING SCIENCE,"FRANCO BRITISH INTERNATIONAL UNIVERSITY, KADUNA, KADUNA STATE",FRANCO,[Not Available],[Not Available],[Not Available]
PEACE AND CONFLICT RESOLUTION,"FRANCO BRITISH INTERNATIONAL UNIVERSITY, KADUNA, KADUNA STATE",FRANCO,[Not Available],[Not Available],[Not Available]
RADIOLOGY AND RADIATION SCIENCE,"FRANCO BRITISH INTERNATIONAL UNIVERSITY, KADUNA, KADUNA STATE",FRANCO,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"FRANCO BRITISH INTERNATIONAL UNIVERSITY, KADUNA, KADUNA STATE",FRANCO,[Not Available],[Not Available],[Not Available]
