Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"HAVILLA UNIVERSITY, NDE-IKOM, CROSS RIVER STATE",HAVILLA,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.","Mathematics, Economics plus any Social Science subject."
BIOTECHNOLOGY,"HAVILLA UNIVERSITY, NDE-IKOM, CROSS RIVER STATE",HAVILLA,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
COMPUTER SCIENCE,"HAVILLA UNIVERSITY, NDE-IKOM, CROSS RIVER STATE",HAVILLA,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CYBER SECURITY,"HAVILLA UNIVERSITY, NDE-IKOM, CROSS RIVER STATE",HAVILLA,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS & DEVELOPMENT STUDIES,"HAVILLA UNIVERSITY, NDE-IKOM, CROSS RIVER STATE",HAVILLA,"Two (2) 'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies /Islamic Studies."
ENTREPRENEURSHIP,"HAVILLA UNIVERSITY, NDE-IKOM, CROSS RIVER STATE",HAVILLA,"Two (2) 'A' Level passes to include Economics and one (1) of, Accounts, Business Management, Government, Geography or Mathematics.","Five (5) SSC credit passes to include English Language, Mathematics, Economics, one (1)Science subject and one (1)other Social Science or Commercial subject.","Economics, Mathematics and one (1) other Social Science or Commercial subject."
HUMAN RESOURCE MANAGEMENT,"HAVILLA UNIVERSITY, NDE-IKOM, CROSS RIVER STATE",HAVILLA,"Two ‘A’ level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five Credits at SSCE (or its equivalent) in English, Mathematics, Economics, one Science subject plus any one from Accounting, Business Methods, Commerce, Government, Geography and Statistics","UTME subjects are: Mathematics, Economics and one other subject."
INDUSTRIAL CHEMISTRY,"HAVILLA UNIVERSITY, NDE-IKOM, CROSS RIVER STATE",HAVILLA,"(i)    Two (2) 'A' Level passes in Chemistry and Mathematics

 

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
PHYSICS WITH ELECTRONICS,"HAVILLA UNIVERSITY, NDE-IKOM, CROSS RIVER STATE",HAVILLA,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
SOFTWARE ENGINEERING,"HAVILLA UNIVERSITY, NDE-IKOM, CROSS RIVER STATE",HAVILLA,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
TAXATION,"HAVILLA UNIVERSITY, NDE-IKOM, CROSS RIVER STATE",HAVILLA,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
