Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
AGRICULTURAL ECONOMICS AND EXTENSION,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
AGRONOMY,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
ANIMAL PRODUCTION AND HUSBANDRY,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY AND MOLECULAR BIOLOGY,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
BROADCASTING,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
DATA SCIENCE,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
ECONOMICS,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
ENVIRONMENTAL MANAGEMENT,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
FILM AND MULTIMEDIA STUDIES,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
FISHERIES AND AQUACULTURE,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
FORESTRY AND WILDLIFE MANAGEMENT,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
GEOLOGY AND APPLIED GEOPHYSICS,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
HISTORY AND DIPLOMATIC STUDIES,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
JOURNALISM,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
LANGUAGES AND LINGUISTICS,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
METEOROLOGY AND CLIMATE SCIENCE,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
MICROBIOLOGY,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
PERFORMING AND CREATIVE ARTS,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
PHILOSOPHY AND RELIGIOUS STUDIES,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
PHYSICS WITH ELECTRONICS,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
POLITICAL SCIENCE AND INTERNATIONAL RELATIONS,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
PROCUREMENT,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
PROJECT MANAGEMENT,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
SCIENCE LABORATORY TECHNOLOGY,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
SURVEYING AND GEO-INFORMATICS,"HENSARD UNIVERSITY, TORU ORUA, BAYELSA STATE",HENSARD,[Not Available],[Not Available],[Not Available]
