Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics or Commerce and any  two (2)of Arts and Social Science subjects.","Mathematics, Economics and any other Social Science subject"
BIOCHEMISTRY,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Biology and any other science subject","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY & PLANT SCIENCE,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS ADMINISTRATION,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics or Commerce and any

two (2) of Arts and Social Science subjects.","Mathematics, Economics and any other Social Science subject"
BUSINESS MANAGEMENT,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
CHRISTIAN RELIGIOUS STUDIES,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,Two (2) ‘A’ Level passes/NCE to include CRS/Religious Studies.,"Five (5) SSC credit passes in English Language, CRS and three (3) other relevant subjects.",Two (2) Arts subjects including CRS and any other subject.
COMPUTER SCIENCE,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,")       Two (2) 'A' Level passes in science subjects including Mathematics or Physics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
ENGLISH LANGUAGE & LITERARY STUDIES,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,Five (5) SSC credit passes to include Literature in English and English Language. A pass in Mathematics is required.,"Literature in English, one other Arts subject and another Arts or Social Science subject."
HISTORY & INTERNATIONAL STUDIES,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,(Credit) in History/ Government and any other related subject.,"English Language, Government/History, CRK any other two from ARTS or Social Sciences.",subjects from the Arts and Social Sciences.
HOSPITALITY AND TOURISM,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,[Not Available],"Five (5) SSC credit passes in English Language, Geography and any three (3) from Arts or Social Science subjects with 'O' Level pass in Mathematics.",Geography and any two (2) other Arts or Social Science subjects.
INDUSTRIAL CHEMISTRY,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,"(i)    Two (2) 'A' Level passes in Chemistry and Mathematics or Physics

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
INTERNATIONAL RELATIONS,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,"Two (2) 'A' Level passes in Social Science subject from Government/History, Economics, Sociology and Business Management.","Five (5) SSC credit passes to include English Language, Government or History and three (3) relevant subjects.","Economics, Literature in English and Geography/Government/History."
MARKETING,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics or Commerce and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
MASS COMMUNICATION,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,Two (2) 'A' Level passes in Arts or Social Science subjects.,Five (5) SSC credit passes in English Language and four (4) other subjects in Arts or Social Sciences.,Any three (3) from Arts or Social Science subjects.
MATHEMATICS,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,") Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
MICROBIOLOGY,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and any other Science subject.","Biology, Chemistry and either Physics or Mathematics."
PHYSICS WITH ELECTRONICS,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
PLANT SCIENCE AND BIOTECHNOLOGY,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
POLITICAL SCIENCE,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Government or History plus two (2) other Social Science/Arts subjects.
PUBLIC ADMINISTRATION,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
PURE AND APPLIED CHEMISTRY,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,")  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
SOCIOLOGY,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Three (3) Social Science or Arts subjects.
ZOOLOGY,"HEZEKIAH UNIVERSITY, UMUDI, IMO STATE",HEZEKIAH,"Two (2) 'A' Level passes or NCE in Biology, Zoology or Botany and one other Science subject","Five (5) SSC credit passes in English Language, Mathematics, Biology and two (2) other Science subject.","Biology and any two (2) of Physics, Chemistry and Mathematics."
