Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
AEROSPACE ENGINEERING,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
AGRIBUSINESS & ECONOMICS,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
ANATOMY,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
AUDIOLOGY,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
BIOLOGICAL SCIENCES,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
CHEMICAL ENGINEERING,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
CHEMICAL SCIENCES,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
CIVIL & CONSTRUCTION ENGINEERING,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
COMPUTING & ARTIFICIAL INTELLIGENCE,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
DATA SCIENCE,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
DENTISTRY,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
DOCTOR OF OPTOMETRY,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
ECONOMICS,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
ELECTRICAL ENGINEERING,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
ENVIRONMENTAL MANAGEMENT AND TOXICOLOGY,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
FORENSIC SCIENCE,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
INDUSTRIAL PRODUCTION ENGINEERING,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
MANAGEMENT,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
MASS COMMUNICATION,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
MECHANICAL ENGINEERING,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
MECHATRONICS ENGINEERING,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
MEDICAL LABORATORY SCIENCE,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
MEDICINE & SURGERY,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
NURSING SCIENCE,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
NUTRITION AND DIETETICS,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
PHARMACEUTICAL SCIENCES,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
PHYSIOLOGY,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
SYSTEMS ENGINEERING,"HILLSIDE UNIVERSITY OF SCIENCE AND TECHNOLOGY, OKEMESI-EKITI, EKITI STATE",HUSTECH,[Not Available],[Not Available],[Not Available]
