Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"HUDA UNIVERSITY, GUSAU, ZAMFARA STATE",HUDA,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"HUDA UNIVERSITY, GUSAU, ZAMFARA STATE",HUDA,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"HUDA UNIVERSITY, GUSAU, ZAMFARA STATE",HUDA,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"HUDA UNIVERSITY, GUSAU, ZAMFARA STATE",HUDA,[Not Available],[Not Available],[Not Available]
ECONOMICS,"HUDA UNIVERSITY, GUSAU, ZAMFARA STATE",HUDA,[Not Available],[Not Available],[Not Available]
FORENSIC SCIENCE,"HUDA UNIVERSITY, GUSAU, ZAMFARA STATE",HUDA,[Not Available],[Not Available],[Not Available]
HEALTH INFORMATION MANAGEMENT,"HUDA UNIVERSITY, GUSAU, ZAMFARA STATE",HUDA,[Not Available],[Not Available],[Not Available]
MICROBIOLOGY,"HUDA UNIVERSITY, GUSAU, ZAMFARA STATE",HUDA,[Not Available],[Not Available],[Not Available]
NURSING SCIENCE,"HUDA UNIVERSITY, GUSAU, ZAMFARA STATE",HUDA,[Not Available],[Not Available],[Not Available]
PEACE STUDIES AND CONFLICT RESOLUTION,"HUDA UNIVERSITY, GUSAU, ZAMFARA STATE",HUDA,[Not Available],[Not Available],[Not Available]
PETROLEUM CHEMISTRY,"HUDA UNIVERSITY, GUSAU, ZAMFARA STATE",HUDA,[Not Available],[Not Available],[Not Available]
PUBLIC ADMINISTRATION,"HUDA UNIVERSITY, GUSAU, ZAMFARA STATE",HUDA,[Not Available],[Not Available],[Not Available]
PUBLIC HEALTH,"HUDA UNIVERSITY, GUSAU, ZAMFARA STATE",HUDA,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"HUDA UNIVERSITY, GUSAU, ZAMFARA STATE",HUDA,[Not Available],[Not Available],[Not Available]
TAXATION,"HUDA UNIVERSITY, GUSAU, ZAMFARA STATE",HUDA,[Not Available],[Not Available],[Not Available]
