Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"JEWEL UNIVERSITY, GOMBE, GOMBE STATE",JEWEL,[Not Available],[Not Available],[Not Available]
ARCHITECTURE,"JEWEL UNIVERSITY, GOMBE, GOMBE STATE",JEWEL,[Not Available],[Not Available],[Not Available]
BANKING & FINANCE,"JEWEL UNIVERSITY, GOMBE, GOMBE STATE",JEWEL,[Not Available],[Not Available],[Not Available]
BUILDING,"JEWEL UNIVERSITY, GOMBE, GOMBE STATE",JEWEL,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"JEWEL UNIVERSITY, GOMBE, GOMBE STATE",JEWEL,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"JEWEL UNIVERSITY, GOMBE, GOMBE STATE",JEWEL,[Not Available],[Not Available],[Not Available]
CRIMINOLOGY AND SECURITY STUDIES,"JEWEL UNIVERSITY, GOMBE, GOMBE STATE",JEWEL,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"JEWEL UNIVERSITY, GOMBE, GOMBE STATE",JEWEL,[Not Available],[Not Available],[Not Available]
DATA SCIENCE,"JEWEL UNIVERSITY, GOMBE, GOMBE STATE",JEWEL,[Not Available],[Not Available],[Not Available]
ECONOMICS,"JEWEL UNIVERSITY, GOMBE, GOMBE STATE",JEWEL,[Not Available],[Not Available],[Not Available]
INFORMATION AND COMMUNICATION TECHNOLOGY,"JEWEL UNIVERSITY, GOMBE, GOMBE STATE",JEWEL,[Not Available],[Not Available],[Not Available]
PROJECT MANAGEMENT,"JEWEL UNIVERSITY, GOMBE, GOMBE STATE",JEWEL,[Not Available],[Not Available],[Not Available]
PUBLIC ADMINISTRATION,"JEWEL UNIVERSITY, GOMBE, GOMBE STATE",JEWEL,[Not Available],[Not Available],[Not Available]
QUANTITY SURVEYING,"JEWEL UNIVERSITY, GOMBE, GOMBE STATE",JEWEL,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"JEWEL UNIVERSITY, GOMBE, GOMBE STATE",JEWEL,[Not Available],[Not Available],[Not Available]
TAXATION,"JEWEL UNIVERSITY, GOMBE, GOMBE STATE",JEWEL,[Not Available],[Not Available],[Not Available]
TRANSPORT MANAGEMENT,"JEWEL UNIVERSITY, GOMBE, GOMBE STATE",JEWEL,[Not Available],[Not Available],[Not Available]
