Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
BIOCHEMISTRY,"KHALIFA ISYAKU RABIU UNIVERSITY, GADON KAYA CITY GATE, KANO, KANO STATE",KHAIRUN,[Not Available],[Not Available],[Not Available]
BIOTECHNOLOGY,"KHALIFA ISYAKU RABIU UNIVERSITY, GADON KAYA CITY GATE, KANO, KANO STATE",KHAIRUN,[Not Available],[Not Available],[Not Available]
COMMON LAW,"KHALIFA ISYAKU RABIU UNIVERSITY, GADON KAYA CITY GATE, KANO, KANO STATE",KHAIRUN,[Not Available],[Not Available],[Not Available]
COMPUTER ENGINEERING,"KHALIFA ISYAKU RABIU UNIVERSITY, GADON KAYA CITY GATE, KANO, KANO STATE",KHAIRUN,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"KHALIFA ISYAKU RABIU UNIVERSITY, GADON KAYA CITY GATE, KANO, KANO STATE",KHAIRUN,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"KHALIFA ISYAKU RABIU UNIVERSITY, GADON KAYA CITY GATE, KANO, KANO STATE",KHAIRUN,[Not Available],[Not Available],[Not Available]
ELECTRICAL ENGINEERING,"KHALIFA ISYAKU RABIU UNIVERSITY, GADON KAYA CITY GATE, KANO, KANO STATE",KHAIRUN,[Not Available],[Not Available],[Not Available]
FORENSIC SCIENCE,"KHALIFA ISYAKU RABIU UNIVERSITY, GADON KAYA CITY GATE, KANO, KANO STATE",KHAIRUN,[Not Available],[Not Available],[Not Available]
INDUSTRIAL CHEMISTRY,"KHALIFA ISYAKU RABIU UNIVERSITY, GADON KAYA CITY GATE, KANO, KANO STATE",KHAIRUN,[Not Available],[Not Available],[Not Available]
ISLAMIC LAW,"KHALIFA ISYAKU RABIU UNIVERSITY, GADON KAYA CITY GATE, KANO, KANO STATE",KHAIRUN,[Not Available],[Not Available],[Not Available]
MATHEMATICS,"KHALIFA ISYAKU RABIU UNIVERSITY, GADON KAYA CITY GATE, KANO, KANO STATE",KHAIRUN,[Not Available],[Not Available],[Not Available]
MECHATRONICS ENGINEERING,"KHALIFA ISYAKU RABIU UNIVERSITY, GADON KAYA CITY GATE, KANO, KANO STATE",KHAIRUN,[Not Available],[Not Available],[Not Available]
MEDICAL LABORATORY SCIENCE,"KHALIFA ISYAKU RABIU UNIVERSITY, GADON KAYA CITY GATE, KANO, KANO STATE",KHAIRUN,[Not Available],[Not Available],[Not Available]
MICROBIOLOGY,"KHALIFA ISYAKU RABIU UNIVERSITY, GADON KAYA CITY GATE, KANO, KANO STATE",KHAIRUN,[Not Available],[Not Available],[Not Available]
NURSING,"KHALIFA ISYAKU RABIU UNIVERSITY, GADON KAYA CITY GATE, KANO, KANO STATE",KHAIRUN,[Not Available],[Not Available],[Not Available]
PHYSICS WITH ELECTRONICS,"KHALIFA ISYAKU RABIU UNIVERSITY, GADON KAYA CITY GATE, KANO, KANO STATE",KHAIRUN,[Not Available],[Not Available],[Not Available]
RADIOGRAPHY,"KHALIFA ISYAKU RABIU UNIVERSITY, GADON KAYA CITY GATE, KANO, KANO STATE",KHAIRUN,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"KHALIFA ISYAKU RABIU UNIVERSITY, GADON KAYA CITY GATE, KANO, KANO STATE",KHAIRUN,[Not Available],[Not Available],[Not Available]
