Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
BANKING & FINANCE,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BIOCHEMISTRY,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS ADMINISTRATION,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
CHEMISTRY,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CRIMINOLOGY & SECURITY STUDIES,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,"Two (2) 'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies /Islamic Studies."
CYBER SECURITY,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
ENGLISH LANGUAGE,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
ENTREPRENEURSHIP,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,"Two (2) 'A' Level passes to include Economics and at least one of, Accounts, Business Management, Government, Geography or Mathematics.","Five (5) SSC credit passes to include English Language, Mathematics, Economics, one Science subject and one other Social Science or Commercial subject.","Economics, Mathematics and one other Social Science or Commercial subject."
HISTORY,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,Two (2) ‘A’ Level passes in History and any other related subjects.,Five (5) SSC credit passes to include History and English Language.,History and any other two (2) subjects from Arts and Social Sciences.
HISTORY AND INTERNATIONAL STUDIES,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,credit) in History/ Government and any other related subject.,"Language, Geography, Government/History.",subjects from the Arts and Social Sciences.
INTERNATIONAL RELATIONS,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,"Two (2) 'A' Level passes in Social Science subject from Government/History, Economics, Sociology and Business Management.","Five (5) SSC credit passes to include English Language, Government or History and three (3) relevant subjects.","Economics, Literature in English and Geography/Government/History."
MASS COMMUNICATION,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,Two (2) 'A' Level passes in Arts or Social Science subjects.,Five (5) SSC credit passes in English Language and four (4) other subjects in Arts or Social Sciences.,Any three (3) from Arts or Social Science subjects.
MATHEMATICS,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,") Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
MEDICAL LABORATORY SCIENCE,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,[Not Available],[Not Available],[Not Available]
MICROBIOLOGY,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
NURSING SCIENCE,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,[Not Available],[Not Available],[Not Available]
PHYSICS,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
POLITICAL SCIENCE,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Government or History plus two (2) other Social Science/Arts subjects.
PUBLIC HEALTH,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,[Not Available],[Not Available],[Not Available]
RELIGIOUS STUDIES,"KINGS UNIVERSITY, ODE-OMU, OSUN STATE",UNIKINGS,Two (2) ‘A’ Level subjects to include Religious Studies (CRS/IRS).,Five (5) SSC credit passes to include English Language and CRS/IRS.,CRS/IRS and any other two (2) subjects.
