Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTANCY AND FORENSIC STUDIES,"LUX MUNDI UNIVERSITY, IBEKU, UMUAHIA, ABIA STATE",LUX-MUNDI,[Not Available],[Not Available],[Not Available]
BANKING AND FINANCE,"LUX MUNDI UNIVERSITY, IBEKU, UMUAHIA, ABIA STATE",LUX-MUNDI,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"LUX MUNDI UNIVERSITY, IBEKU, UMUAHIA, ABIA STATE",LUX-MUNDI,[Not Available],[Not Available],[Not Available]
ECONOMICS AND DEVELOPMENTAL STUDIES,"LUX MUNDI UNIVERSITY, IBEKU, UMUAHIA, ABIA STATE",LUX-MUNDI,[Not Available],[Not Available],[Not Available]
ENGLISH & LITERARY STUDIES,"LUX MUNDI UNIVERSITY, IBEKU, UMUAHIA, ABIA STATE",LUX-MUNDI,[Not Available],[Not Available],[Not Available]
ENTREPRENEURSHIP,"LUX MUNDI UNIVERSITY, IBEKU, UMUAHIA, ABIA STATE",LUX-MUNDI,[Not Available],[Not Available],[Not Available]
INTERNATIONAL RELATIONS AND DIPLOMACY,"LUX MUNDI UNIVERSITY, IBEKU, UMUAHIA, ABIA STATE",LUX-MUNDI,[Not Available],[Not Available],[Not Available]
LAW,"LUX MUNDI UNIVERSITY, IBEKU, UMUAHIA, ABIA STATE",LUX-MUNDI,[Not Available],[Not Available],[Not Available]
PEACE STUDIES AND CONFLICT RESOLUTION,"LUX MUNDI UNIVERSITY, IBEKU, UMUAHIA, ABIA STATE",LUX-MUNDI,[Not Available],[Not Available],[Not Available]
POLITICAL SCIENCE,"LUX MUNDI UNIVERSITY, IBEKU, UMUAHIA, ABIA STATE",LUX-MUNDI,[Not Available],[Not Available],[Not Available]
PROJECT MANAGEMENT,"LUX MUNDI UNIVERSITY, IBEKU, UMUAHIA, ABIA STATE",LUX-MUNDI,[Not Available],[Not Available],[Not Available]
PUBLIC ADMINISTRATION,"LUX MUNDI UNIVERSITY, IBEKU, UMUAHIA, ABIA STATE",LUX-MUNDI,[Not Available],[Not Available],[Not Available]
