Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"MADONNA UNIVERSITY, ELELE, RIVERS STATE",MADONNA,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.?","Mathematics, Economics plus any Social Science subject."
ANATOMY,"MADONNA UNIVERSITY, ELELE, RIVERS STATE",MADONNA,"Two (2) 'A' Level passes chosen from Biology, Chemistry and Physics in addition to the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and Physics."
BANKING & FINANCE,"MADONNA UNIVERSITY, ELELE, RIVERS STATE",MADONNA,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
BIOCHEMISTRY,"MADONNA UNIVERSITY, ELELE, RIVERS STATE",MADONNA,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BROADCASTING,"MADONNA UNIVERSITY, ELELE, RIVERS STATE",MADONNA,[Not Available],[Not Available],[Not Available]
BUSINESS EDUCATION,"MADONNA UNIVERSITY, ELELE, RIVERS STATE",MADONNA,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
BUSINESS MANAGEMENT,"MADONNA UNIVERSITY, ELELE, RIVERS STATE",MADONNA,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
CHEMICAL ENGINEERING,"MADONNA UNIVERSITY, ELELE, RIVERS STATE",MADONNA,"'A' Level passes in Physics, Chemistry and Mathematics.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics and English Language and any other Science subject.","Mathematics, Physics and Chemistry."
CIVIL ENGINEERING,"MADONNA UNIVERSITY, ELELE, RIVERS STATE",MADONNA,(i) 'A' Level passes in Physics and Mathematics. (ii) ND/HND upper credit at appropriate levels.,"Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and one Science subject","Physics, Chemistry and Mathematics"
COMPUTER ENGINEERING,"MADONNA UNIVERSITY, ELELE, RIVERS STATE",MADONNA,"Three (3) 'A' Level passes in Pure Mathematics or Pure and Applied Mathematics, Chemistry and Physics.","Five (5) SSC credit passes to include Mathematics, Further Mathematics, Chemistry, Physics and 

English Language.","Mathematics, Physics and Chemistry."
COMPUTER SCIENCE,"MADONNA UNIVERSITY, ELELE, RIVERS STATE",MADONNA,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CYBER SECURITY,"MADONNA UNIVERSITY, ELELE, RIVERS STATE",MADONNA,[Not Available],[Not Available],[Not Available]
DOCTOR OF PHARMACY,"MADONNA UNIVERSITY, ELELE, RIVERS STATE",MADONNA,[Not Available],[Not Available],[Not Available]
ECONOMICS,"MADONNA UNIVERSITY, ELELE, RIVERS STATE",MADONNA,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
ECONOMICS AND DEVELOPMENTAL STUDIES,"MADONNA UNIVERSITY, ELELE, RIVERS STATE",MADONNA,[Not Available],[Not Available],[Not Available]
EDUCATION & COMPUTER SCIENCE,"MADONNA UNIVERSITY, ELELE, RIVERS STATE",MADONNA,Two (2) ‘A’ Level passes including Physics or Chemistry.,"Five (5) SSC credit passes or its equivalents including Mathematics, English Language and three (3) other Science subjects.","Mathematics, Physics and one of Biology, Chemistry and Geography."
EDUCATION & SCIENCE,"MADONNA UNIVERSITY, ELELE, RIVERS STATE",MADONNA,"(i)     Two (2) 'A' Level passes in relevant Science subjects which should include candidates proposed course.

(ii)   NCE credit/merit in addition to TC II merit or 'O' Level credit in relevant subjects.","Five (5) 'O' Level credit passes including English Language, Mathematics and two (2) other Science subjects.",Three (3) relevant Science or NBC subjects
EDUCATION AND GEOGRAPHY,"MADONNA UNIVERSITY, ELELE, RIVERS STATE",MADONNA,"Two (2) 'A' Level passes/NCE merit which should include Geography

/Physics.","Five (5) SSC credit passes to include Geography, English Language and Mathematics.",Geography plus two (2) other Social Sciences/Arts subjects.
ELECTRICAL /ELECTRONICS ENGINEERING,"MADONNA UNIVERSITY, ELELE, RIVERS STATE",MADONNA,"Two (2) 'A' Level passes in Mathematics, Physics or Chemistry","Five (5) SSC credit passes to include Mathematics, Physics, Chemistry, English Language and any other Science subject.","Mathematics, Physics and Chemistry"
ENGLISH LANGUAGE,"MADONNA UNIVERSITY, ELELE, RIVERS STATE",MADONNA,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
ENTREPRENEURSHIP,"MADONNA UNIVERSITY, ELELE, RIVERS STATE",MADONNA,"Two (2) 'A' Level passes to include Economics and at least one of, Accounts, Business Management, Government, Geography or Mathematics.","Five (5) SSC credit passes to include English Language, Mathematics, Economics, one Science subject and one other Social Science or Commercial subject.","Economics, Mathematics and one other Social Science or Commercial subject."
FOOD SCIENCE & TECHNOLOGY,"MADONNA UNIVERSITY, ELELE, RIVERS STATE",MADONNA,"(i)       'A' Level passes in two (2) of Physics Chemistry, and Mathematics.

(ii)     ND/HND upper credit in relevant programmes.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and any other Science subject.","Mathematics, Chemistry and Physics or Biology."
