Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"MADUKA UNIVERSITY, EKWEGBE-NSUKKA, ENUGU STATE",MADUKA,[Not Available],[Not Available],[Not Available]
CIVIL ENGINEERING,"MADUKA UNIVERSITY, EKWEGBE-NSUKKA, ENUGU STATE",MADUKA,[Not Available],[Not Available],[Not Available]
COMPUTER ENGINEERING,"MADUKA UNIVERSITY, EKWEGBE-NSUKKA, ENUGU STATE",MADUKA,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"MADUKA UNIVERSITY, EKWEGBE-NSUKKA, ENUGU STATE",MADUKA,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"MADUKA UNIVERSITY, EKWEGBE-NSUKKA, ENUGU STATE",MADUKA,[Not Available],[Not Available],[Not Available]
ECONOMICS,"MADUKA UNIVERSITY, EKWEGBE-NSUKKA, ENUGU STATE",MADUKA,[Not Available],[Not Available],[Not Available]
ELECTRICAL ENGINEERING,"MADUKA UNIVERSITY, EKWEGBE-NSUKKA, ENUGU STATE",MADUKA,[Not Available],[Not Available],[Not Available]
INFORMATION TECHNOLOGY,"MADUKA UNIVERSITY, EKWEGBE-NSUKKA, ENUGU STATE",MADUKA,[Not Available],[Not Available],[Not Available]
INTERNATIONAL RELATIONS,"MADUKA UNIVERSITY, EKWEGBE-NSUKKA, ENUGU STATE",MADUKA,[Not Available],[Not Available],[Not Available]
LAW,"MADUKA UNIVERSITY, EKWEGBE-NSUKKA, ENUGU STATE",MADUKA,[Not Available],[Not Available],[Not Available]
MASS COMMUNICATION,"MADUKA UNIVERSITY, EKWEGBE-NSUKKA, ENUGU STATE",MADUKA,[Not Available],[Not Available],[Not Available]
MECHANICAL ENGINEERING,"MADUKA UNIVERSITY, EKWEGBE-NSUKKA, ENUGU STATE",MADUKA,[Not Available],[Not Available],[Not Available]
MECHATRONICS ENGINEERING,"MADUKA UNIVERSITY, EKWEGBE-NSUKKA, ENUGU STATE",MADUKA,[Not Available],[Not Available],[Not Available]
MEDICAL LABORATORY SCIENCE,"MADUKA UNIVERSITY, EKWEGBE-NSUKKA, ENUGU STATE",MADUKA,[Not Available],[Not Available],[Not Available]
NURSING SCIENCE,"MADUKA UNIVERSITY, EKWEGBE-NSUKKA, ENUGU STATE",MADUKA,[Not Available],[Not Available],[Not Available]
PHARMACY,"MADUKA UNIVERSITY, EKWEGBE-NSUKKA, ENUGU STATE",MADUKA,[Not Available],[Not Available],[Not Available]
PHYSIOTHERAPY,"MADUKA UNIVERSITY, EKWEGBE-NSUKKA, ENUGU STATE",MADUKA,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"MADUKA UNIVERSITY, EKWEGBE-NSUKKA, ENUGU STATE",MADUKA,[Not Available],[Not Available],[Not Available]
TRANSPORT MANAGEMENT,"MADUKA UNIVERSITY, EKWEGBE-NSUKKA, ENUGU STATE",MADUKA,[Not Available],[Not Available],[Not Available]
