Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"MARANATHA UNIVERSITY, IBEJU LEKKI, LAGOS STATE",MARANATHA,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.","Mathematics, Economics plus any Social Science subject."
ARCHITECTURE,"MARANATHA UNIVERSITY, IBEJU LEKKI, LAGOS STATE",MARANATHA,"(i)       Two (2) 'A' Level passes chosen from Mathematics or Physics and Chemistry, Geography or Fine Arts.

 

(ii)    ND/HND upper credits in relevant field.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any of Fine Art, Geography or Wood Work, Biology, Economics, Technical Drawing, Further. Mathematics., Introduction to Building Construction, Bricklaying/Block laying, Concreting, Wall, Floors and Ceiling Finishing, Joinery, Carpentary, Decorative Painting, Lining, Sign and Design, Wall Hanging, Colour Mixing/Matching and Glazing, Ceramics, Graphics Design, Graphic Printing, Basic Electricity.","Physics, Mathematics, and any of Chemistry, Geography, Art, Biology and Economics."
BIOCHEMISTRY,"MARANATHA UNIVERSITY, IBEJU LEKKI, LAGOS STATE",MARANATHA,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BUSINESS ADMINISTRATION,"MARANATHA UNIVERSITY, IBEJU LEKKI, LAGOS STATE",MARANATHA,Two (2) 'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
COMPUTER ENGINEERING,"MARANATHA UNIVERSITY, IBEJU LEKKI, LAGOS STATE",MARANATHA,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"MARANATHA UNIVERSITY, IBEJU LEKKI, LAGOS STATE",MARANATHA,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CRIMINOLOGY & SECURITY STUDIES,"MARANATHA UNIVERSITY, IBEJU LEKKI, LAGOS STATE",MARANATHA,"Two (2) 'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies /Islamic Studies."
CYBER SECURITY,"MARANATHA UNIVERSITY, IBEJU LEKKI, LAGOS STATE",MARANATHA,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"MARANATHA UNIVERSITY, IBEJU LEKKI, LAGOS STATE",MARANATHA,"Two (2) 'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies /Islamic Studies."
ELECTRICAL AND ELECTRONICS ENGINEERING,"MARANATHA UNIVERSITY, IBEJU LEKKI, LAGOS STATE",MARANATHA,[Not Available],[Not Available],[Not Available]
ESTATE MANAGEMENT,"MARANATHA UNIVERSITY, IBEJU LEKKI, LAGOS STATE",MARANATHA,"Two (2) ‘A’ Level passes in Mathematics, Economics, Geography, Biology and Physics.","Five (5) SSCE credit passes including Chemistry, Mathematics and English Language.","Mathematics, Economics and one other subject"
GEOGRAPHY,"MARANATHA UNIVERSITY, IBEJU LEKKI, LAGOS STATE",MARANATHA,"Two (2) 'A' Level passes in Geography and any one of Economics., Government, Physics, Chemistry, Biology, and Mathematics","Five (5) SSC credit passes in English Language, Geography, and any three (3) from Arts or Social Science subjects with at least a pass in Mathematics.",Geography and two (2) other Arts or Social Science subjects
INDUSTRIAL CHEMISTRY,"MARANATHA UNIVERSITY, IBEJU LEKKI, LAGOS STATE",MARANATHA,"(i)    Two (2) 'A' Level passes in Chemistry and Mathematics

 

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
INFORMATION TECHNOLOGY,"MARANATHA UNIVERSITY, IBEJU LEKKI, LAGOS STATE",MARANATHA,[Not Available],[Not Available],[Not Available]
MATHEMATICS,"MARANATHA UNIVERSITY, IBEJU LEKKI, LAGOS STATE",MARANATHA,"(i) Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics.","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
MECHANICAL ENGINEERING,"MARANATHA UNIVERSITY, IBEJU LEKKI, LAGOS STATE",MARANATHA,[Not Available],[Not Available],[Not Available]
PHYSICS WITH ELECTRONICS,"MARANATHA UNIVERSITY, IBEJU LEKKI, LAGOS STATE",MARANATHA,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
