Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
ARCHITECTURE,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
BANKING & FINANCE,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
ECONOMICS,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
ESTATE MANAGEMENT,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
INFORMATION TECHNOLOGY,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
INTERNATIONAL RELATIONS,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
LAW,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
MASS COMMUNICATION,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
MEDICAL LABORATORY SCIENCE,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
MEDICINE AND SURGERY,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
NURSING SCIENCE,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
OPTOMETRY,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
PHYSIOTHERAPY,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
PUBLIC ADMINISTRATION,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
RADIOGRAPHY,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
SOCIOLOGY,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
SURVEYING & GEO-INFORMATICS,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
TAXATION,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
URBAN & REGIONAL PLANNING,"MARGARET LAWRENCE UNIVERSITY, GALILEE, DELTA STATE",MLU,[Not Available],[Not Available],[Not Available]
