Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"MICHAEL AND CECILIA IBRU UNIVERSITY, OWHRODE, DELTA STATE",MC-IBRU,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
AGRICULTURE,"MICHAEL AND CECILIA IBRU UNIVERSITY, OWHRODE, DELTA STATE",MC-IBRU,[Not Available],[Not Available],[Not Available]
APPLIED BIOLOGY,"MICHAEL AND CECILIA IBRU UNIVERSITY, OWHRODE, DELTA STATE",MC-IBRU,Two (2) 'A' Level passes in Biology and either Chemistry or Physics.,"Five (5) SSC credit passes  in English Language, Biology, Mathematics, Chemistry and any one (1) of  Health  Science, Statistics, Physics and Geography.","Chemistry, Biology and either Physics or Mathematics."
BANKING & FINANCE,"MICHAEL AND CECILIA IBRU UNIVERSITY, OWHRODE, DELTA STATE",MC-IBRU,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BIOCHEMISTRY,"MICHAEL AND CECILIA IBRU UNIVERSITY, OWHRODE, DELTA STATE",MC-IBRU,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"MICHAEL AND CECILIA IBRU UNIVERSITY, OWHRODE, DELTA STATE",MC-IBRU,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS ADMINISTRATION,"MICHAEL AND CECILIA IBRU UNIVERSITY, OWHRODE, DELTA STATE",MC-IBRU,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
COMPUTER SCIENCE,"MICHAEL AND CECILIA IBRU UNIVERSITY, OWHRODE, DELTA STATE",MC-IBRU,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CYBER SECURITY,"MICHAEL AND CECILIA IBRU UNIVERSITY, OWHRODE, DELTA STATE",MC-IBRU,"i)      Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"MICHAEL AND CECILIA IBRU UNIVERSITY, OWHRODE, DELTA STATE",MC-IBRU,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
