Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"MUDIAME UNIVERSITY, IRRUA, EDO STATE",MUDIAME,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.","Mathematics, Economics plus any Social Science subject."
BIOTECHNOLOGY,"MUDIAME UNIVERSITY, IRRUA, EDO STATE",MUDIAME,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS ADMINISTRATION,"MUDIAME UNIVERSITY, IRRUA, EDO STATE",MUDIAME,[Not Available],[Not Available],[Not Available]
CERAMICS ENGINEERING,"MUDIAME UNIVERSITY, IRRUA, EDO STATE",MUDIAME,"'A' Level passes in Physics, Chemistry and Mathematics.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics and English Language and any other Science subject.","Mathematics, Physics and Chemistry."
CHEMISTRY,"MUDIAME UNIVERSITY, IRRUA, EDO STATE",MUDIAME,"(i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
CIVIL ENGINEERING,"MUDIAME UNIVERSITY, IRRUA, EDO STATE",MUDIAME,"(i)       'A' Level passes in Physics and Mathematics.

(ii)     ND/HND upper credit at appropriate levels.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and one Science subject","Physics, Chemistry and Mathematics"
COMPUTER ENGINEERING,"MUDIAME UNIVERSITY, IRRUA, EDO STATE",MUDIAME,"Three (3) 'A' Level passes in Pure Mathematics or Pure and Applied Mathematics, Chemistry and Physics.","Five (5) SSC credit passes to include Mathematics, Further Mathematics, Chemistry, Physics and English Language.","Mathematics, Physics and Chemistry."
COMPUTER SCIENCE,"MUDIAME UNIVERSITY, IRRUA, EDO STATE",MUDIAME,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CRIMINOLOGY AND SECURITY STUDIES,"MUDIAME UNIVERSITY, IRRUA, EDO STATE",MUDIAME,[Not Available],[Not Available],[Not Available]
ECONOMICS,"MUDIAME UNIVERSITY, IRRUA, EDO STATE",MUDIAME,"Two (2) 'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies /Islamic Studies."
