Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"MUHAMMAD KAMALUD-DEEN UNIVERSITY, ILORIN, KWARA STATE",MK-UNI,[Not Available],[Not Available],[Not Available]
ARABIC LANGUAGE,"MUHAMMAD KAMALUD-DEEN UNIVERSITY, ILORIN, KWARA STATE",MK-UNI,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"MUHAMMAD KAMALUD-DEEN UNIVERSITY, ILORIN, KWARA STATE",MK-UNI,[Not Available],[Not Available],[Not Available]
CHEMISTRY,"MUHAMMAD KAMALUD-DEEN UNIVERSITY, ILORIN, KWARA STATE",MK-UNI,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"MUHAMMAD KAMALUD-DEEN UNIVERSITY, ILORIN, KWARA STATE",MK-UNI,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"MUHAMMAD KAMALUD-DEEN UNIVERSITY, ILORIN, KWARA STATE",MK-UNI,[Not Available],[Not Available],[Not Available]
ECONOMICS,"MUHAMMAD KAMALUD-DEEN UNIVERSITY, ILORIN, KWARA STATE",MK-UNI,[Not Available],[Not Available],[Not Available]
ENGLISH LANGUAGE,"MUHAMMAD KAMALUD-DEEN UNIVERSITY, ILORIN, KWARA STATE",MK-UNI,[Not Available],[Not Available],[Not Available]
HISTORY AND INTERNATIONAL STUDIES,"MUHAMMAD KAMALUD-DEEN UNIVERSITY, ILORIN, KWARA STATE",MK-UNI,[Not Available],[Not Available],[Not Available]
ISLAMIC STUDIES,"MUHAMMAD KAMALUD-DEEN UNIVERSITY, ILORIN, KWARA STATE",MK-UNI,[Not Available],[Not Available],[Not Available]
MATHEMATICS,"MUHAMMAD KAMALUD-DEEN UNIVERSITY, ILORIN, KWARA STATE",MK-UNI,[Not Available],[Not Available],[Not Available]
PHYSICS WITH ELECTRONICS,"MUHAMMAD KAMALUD-DEEN UNIVERSITY, ILORIN, KWARA STATE",MK-UNI,[Not Available],[Not Available],[Not Available]
PLANT SCIENCE AND BIOTECHNOLOGY,"MUHAMMAD KAMALUD-DEEN UNIVERSITY, ILORIN, KWARA STATE",MK-UNI,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"MUHAMMAD KAMALUD-DEEN UNIVERSITY, ILORIN, KWARA STATE",MK-UNI,[Not Available],[Not Available],[Not Available]
STATISTICS AND DATA SCIENCE,"MUHAMMAD KAMALUD-DEEN UNIVERSITY, ILORIN, KWARA STATE",MK-UNI,[Not Available],[Not Available],[Not Available]
