Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",MCPHERSON,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.?","Mathematics, Economics plus any Social Science subject."
BANKING & FINANCE,"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",MCPHERSON,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
BIOCHEMISTRY,"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",MCPHERSON,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",MCPHERSON,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS MANAGEMENT,"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",MCPHERSON,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
CHEMISTRY,"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",MCPHERSON,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",MCPHERSON,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",MCPHERSON,"Two (2) ‘A’ Level passes in Economics and any one (1) of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and CRS/IS."
EDUCATION AND GEOGRAPHY,"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",MCPHERSON,"Two (2) 'A' Level passes/NCE merit which should include Geography

/Physics.","Five (5) SSC credit passes to include Geography, English Language and Mathematics.",Geography plus two (2) other Social Sciences/Arts subjects.
ENGLISH LANGUAGE,"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",MCPHERSON,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
HEALTH INFORMATION MANAGEMENT,"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",MCPHERSON,[Not Available],[Not Available],[Not Available]
HISTORY & INTERNATIONAL STUDIES,"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",MCPHERSON,Two (2) 'A' Level passes/NCE (upper credit) in History/ Government and any other related subject.,"Five (5) SSC credit passes to include English Language, Geography, Government/History.",History/Government and any other two (2) subjects from the Arts and Social Sciences.
INTERNATIONAL RELATIONS,"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",MCPHERSON,"Two (2) 'A' Level passes in Social Science subject from Government/History, Economics, Sociology and Business Management.","Five (5) SSC credit passes to include English Language, Government or History and three (3) relevant subjects.","Economics, Literature in English and Geography/Government/History."
LAW,"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",MCPHERSON,[Not Available],[Not Available],[Not Available]
MARKETING,"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",MCPHERSON,"Two (2) ‘A’ Level passes chosen from Accounting, Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics and any three (3) relevant subjects.","Mathematics, Economics plus one (1) other subject."
MASS COMMUNICATION,"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",MCPHERSON,Two (2) 'A' Level passes in Arts or Social Science subjects.,Five (5) SSC credit passes in English Language and four (4) other subjects in Arts or Social Sciences.,Any three (3) from Arts or Social Science subjects.
MATHEMATICS,"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",MCPHERSON,") Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
MICROBIOLOGY,"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",MCPHERSON,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
NURSING,"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",MCPHERSON,"(i)              Two (2) 'A' Level passes in Biology/ Zoology, Chemistry and Physics plus  three (3) other 'O' Level credit passes in Mathematics, Physics and English Language.

(ii)            NRN or its approved equivalent plus five (5) 'O' Level credit passes  in English Language and four (4) Science subjects chosen from Mathematics, Physics, Chemistry, Biology, Human Anatomy, Physiology and Hygiene, Health Science, Further Mathematics and General Science.","Five (5) SSC credit passes in Mathematics, Chemistry, Biology, Physics and English Language.","Physics, Chemistry and Biology."
PHYSICS,"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",MCPHERSON,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
PUBLIC HEALTH,"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",MCPHERSON,[Not Available],[Not Available],[Not Available]
RELIGIOUS STUDIES,"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",MCPHERSON,Two (2) ‘A’ Level subjects to include Religious Studies (CRS/IRS).,Five (5) SSC credit passes to include English Language and CRS/IRS.,CRS/IRS and any other two (2) subjects.
STATISTICS,"McPHERSON UNIVERSITY, SERIKI SOTAYO, OGUN STATE",MCPHERSON,"Two (2) 'A' Level passes to include Mathematics or Statistics.

NCE credit in relevant subjects.","Five (5) SSC credit passes to include English Language, Mathematics and at least three (3) subjects from Physics, Statistics, Chemistry, Further Mathematics, Economics and Geography.","Mathematics and any two (2) of Physics, Chemistry and Economics."
