Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"NEWGATE UNIVERSITY, MINNA, NIGER STATE",NEWGATE,[Not Available],[Not Available],[Not Available]
BANKING & FINANCE,"NEWGATE UNIVERSITY, MINNA, NIGER STATE",NEWGATE,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"NEWGATE UNIVERSITY, MINNA, NIGER STATE",NEWGATE,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"NEWGATE UNIVERSITY, MINNA, NIGER STATE",NEWGATE,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"NEWGATE UNIVERSITY, MINNA, NIGER STATE",NEWGATE,[Not Available],[Not Available],[Not Available]
DOCTOR OF PHYSIOTHERAPY,"NEWGATE UNIVERSITY, MINNA, NIGER STATE",NEWGATE,[Not Available],[Not Available],[Not Available]
ECONOMICS,"NEWGATE UNIVERSITY, MINNA, NIGER STATE",NEWGATE,[Not Available],[Not Available],[Not Available]
ENVIRONMENTAL HEALTH SCIENCE,"NEWGATE UNIVERSITY, MINNA, NIGER STATE",NEWGATE,[Not Available],[Not Available],[Not Available]
HUMAN RESOURCES MANAGEMENT,"NEWGATE UNIVERSITY, MINNA, NIGER STATE",NEWGATE,[Not Available],[Not Available],[Not Available]
INFORMATION TECHNOLOGY,"NEWGATE UNIVERSITY, MINNA, NIGER STATE",NEWGATE,[Not Available],[Not Available],[Not Available]
INTERNATIONAL RELATIONS,"NEWGATE UNIVERSITY, MINNA, NIGER STATE",NEWGATE,[Not Available],[Not Available],[Not Available]
LAW,"NEWGATE UNIVERSITY, MINNA, NIGER STATE",NEWGATE,[Not Available],[Not Available],[Not Available]
MASS COMMUNICATION,"NEWGATE UNIVERSITY, MINNA, NIGER STATE",NEWGATE,[Not Available],[Not Available],[Not Available]
MEDICAL LABORATORY SCIENCE,"NEWGATE UNIVERSITY, MINNA, NIGER STATE",NEWGATE,[Not Available],[Not Available],[Not Available]
NURSING SCIENCE,"NEWGATE UNIVERSITY, MINNA, NIGER STATE",NEWGATE,[Not Available],[Not Available],[Not Available]
PUBLIC HEALTH,"NEWGATE UNIVERSITY, MINNA, NIGER STATE",NEWGATE,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"NEWGATE UNIVERSITY, MINNA, NIGER STATE",NEWGATE,[Not Available],[Not Available],[Not Available]
