Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"NIGERIAN BRITISH UNIVERSITY, ASA, ABIA STATE",NBU,[Not Available],[Not Available],[Not Available]
BANKING & FINANCE,"NIGERIAN BRITISH UNIVERSITY, ASA, ABIA STATE",NBU,[Not Available],[Not Available],[Not Available]
BANKING AND FINANCE,"NIGERIAN BRITISH UNIVERSITY, ASA, ABIA STATE",NBU,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"NIGERIAN BRITISH UNIVERSITY, ASA, ABIA STATE",NBU,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"NIGERIAN BRITISH UNIVERSITY, ASA, ABIA STATE",NBU,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"NIGERIAN BRITISH UNIVERSITY, ASA, ABIA STATE",NBU,[Not Available],[Not Available],[Not Available]
DATA SCIENCE,"NIGERIAN BRITISH UNIVERSITY, ASA, ABIA STATE",NBU,[Not Available],[Not Available],[Not Available]
ECONOMICS,"NIGERIAN BRITISH UNIVERSITY, ASA, ABIA STATE",NBU,[Not Available],[Not Available],[Not Available]
ENTREPRENEURSHIP,"NIGERIAN BRITISH UNIVERSITY, ASA, ABIA STATE",NBU,[Not Available],[Not Available],[Not Available]
ENTREPRENEURSHIP STUDIES,"NIGERIAN BRITISH UNIVERSITY, ASA, ABIA STATE",NBU,[Not Available],[Not Available],[Not Available]
INFORMATION SYSTEMS,"NIGERIAN BRITISH UNIVERSITY, ASA, ABIA STATE",NBU,[Not Available],[Not Available],[Not Available]
INFORMATION TECHNOLOGY,"NIGERIAN BRITISH UNIVERSITY, ASA, ABIA STATE",NBU,[Not Available],[Not Available],[Not Available]
INTERNATIONAL RELATIONS AND DIPLOMACY,"NIGERIAN BRITISH UNIVERSITY, ASA, ABIA STATE",NBU,[Not Available],[Not Available],[Not Available]
LAW,"NIGERIAN BRITISH UNIVERSITY, ASA, ABIA STATE",NBU,[Not Available],[Not Available],[Not Available]
MARKETING,"NIGERIAN BRITISH UNIVERSITY, ASA, ABIA STATE",NBU,[Not Available],[Not Available],[Not Available]
MASS COMMUNICATION,"NIGERIAN BRITISH UNIVERSITY, ASA, ABIA STATE",NBU,[Not Available],[Not Available],[Not Available]
PEACE STUDIES & CONFLICT RESOLUTION,"NIGERIAN BRITISH UNIVERSITY, ASA, ABIA STATE",NBU,[Not Available],[Not Available],[Not Available]
POLITICAL SCIENCE,"NIGERIAN BRITISH UNIVERSITY, ASA, ABIA STATE",NBU,[Not Available],[Not Available],[Not Available]
PUBLIC ADMINISTRATION,"NIGERIAN BRITISH UNIVERSITY, ASA, ABIA STATE",NBU,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"NIGERIAN BRITISH UNIVERSITY, ASA, ABIA STATE",NBU,[Not Available],[Not Available],[Not Available]
STRATEGIC MANAGEMENT,"NIGERIAN BRITISH UNIVERSITY, ASA, ABIA STATE",NBU,[Not Available],[Not Available],[Not Available]
