Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"NORTHWEST UNIVERSITY, SOKOTO, SOKOTO STATE",NUS,[Not Available],[Not Available],[Not Available]
BANKING & FINANCE,"NORTHWEST UNIVERSITY, SOKOTO, SOKOTO STATE",NUS,[Not Available],[Not Available],[Not Available]
BIOLOGY,"NORTHWEST UNIVERSITY, SOKOTO, SOKOTO STATE",NUS,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"NORTHWEST UNIVERSITY, SOKOTO, SOKOTO STATE",NUS,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"NORTHWEST UNIVERSITY, SOKOTO, SOKOTO STATE",NUS,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"NORTHWEST UNIVERSITY, SOKOTO, SOKOTO STATE",NUS,[Not Available],[Not Available],[Not Available]
ECONOMICS,"NORTHWEST UNIVERSITY, SOKOTO, SOKOTO STATE",NUS,[Not Available],[Not Available],[Not Available]
EDUCATIONAL TECHNOLOGY,"NORTHWEST UNIVERSITY, SOKOTO, SOKOTO STATE",NUS,[Not Available],[Not Available],[Not Available]
INDUSTRIAL MATHEMATICS,"NORTHWEST UNIVERSITY, SOKOTO, SOKOTO STATE",NUS,[Not Available],[Not Available],[Not Available]
INFORMATION TECHNOLOGY,"NORTHWEST UNIVERSITY, SOKOTO, SOKOTO STATE",NUS,[Not Available],[Not Available],[Not Available]
LIBRARY & INFORMATION SCIENCE,"NORTHWEST UNIVERSITY, SOKOTO, SOKOTO STATE",NUS,[Not Available],[Not Available],[Not Available]
PHYSICS WITH ELECTRONICS,"NORTHWEST UNIVERSITY, SOKOTO, SOKOTO STATE",NUS,[Not Available],[Not Available],[Not Available]
PUBLIC ADMINISTRATION,"NORTHWEST UNIVERSITY, SOKOTO, SOKOTO STATE",NUS,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"NORTHWEST UNIVERSITY, SOKOTO, SOKOTO STATE",NUS,[Not Available],[Not Available],[Not Available]
SPECIAL EDUCATION,"NORTHWEST UNIVERSITY, SOKOTO, SOKOTO STATE",NUS,[Not Available],[Not Available],[Not Available]
