Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"NOVENA UNIVERSITY, OGUME, DELTA STATE",NOVENA,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
ANATOMY,"NOVENA UNIVERSITY, OGUME, DELTA STATE",NOVENA,"Two (2) 'A' Level passes chosen from Biology, Chemistry and Physics in addition to the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and Physics."
BIOCHEMISTRY,"NOVENA UNIVERSITY, OGUME, DELTA STATE",NOVENA,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BUSINESS ADMINISTRATION,"NOVENA UNIVERSITY, OGUME, DELTA STATE",NOVENA,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
CHEMISTRY,"NOVENA UNIVERSITY, OGUME, DELTA STATE",NOVENA,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"NOVENA UNIVERSITY, OGUME, DELTA STATE",NOVENA,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
COMPUTER SCIENCE & MATHEMATICS,"NOVENA UNIVERSITY, OGUME, DELTA STATE",NOVENA,Two (2) 'A' Level passes in Mathematics and Physics,"Five (5) SSC credit passes in English Language , Mathematics and any three (3) of Biology, Chemistry, Physics, Further Maths,  and Technical  Drawing.","Mathematics, Physics and any one (1) of Chemistry, Economics and Biology."
ECONOMICS,"NOVENA UNIVERSITY, OGUME, DELTA STATE",NOVENA,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
ENERGY & PETROLEUM STUDIES,"NOVENA UNIVERSITY, OGUME, DELTA STATE",NOVENA,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
ENVIRONMENTAL MANAGEMENT TECHNOLOGY,"NOVENA UNIVERSITY, OGUME, DELTA STATE",NOVENA,"i) 'A' level passes in Mathematics, Physics, Chemistry,  Biology.

ii) ND (upper credit) in relevant fields of technology.","Five (5) SSCE credit passes in Mathematics, Physics, Chemistry, English Language, Biology or Geography.","Mathematics, Physics and Chemistry."
