Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",ODUDUWA,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
BANKING & FINANCE,"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",ODUDUWA,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BIOCHEMISTRY,"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",ODUDUWA,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BUSINESS ADMINISTRATION,"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",ODUDUWA,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
CHEMISTRY,"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",ODUDUWA,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER ENGINEERING,"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",ODUDUWA,"Three (3) 'A' Level passes in Pure Mathematics or Pure and Applied Mathematics, Chemistry and Physics.","Five (5) SSC credit passes to include Mathematics, Further Mathematics, Chemistry, Physics and 

English Language.","Mathematics, Physics and Chemistry."
COMPUTER SCIENCE,"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",ODUDUWA,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",ODUDUWA,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
ELECTRICAL/ELECTRONICS ENGINEERING,"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",ODUDUWA,"Two (2) 'A' Level passes in Mathematics, Physics or Chemistry","Five (5) SSC credit passes to include Mathematics, Physics, Chemistry, English Language and any other Science subject.","Mathematics, Physics and Chemistry"
ESTATE MANAGEMENT,"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",ODUDUWA,"Two (2) ‘A’ Level passes in Mathematics, Economics, Geography, Biology and Physics.","Five (5) SSCE credit passes including Chemistry, Mathematics and English Language.","Mathematics, Economics and one other subject"
INDUSTRIAL CHEMISTRY,"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",ODUDUWA,"(i)    Two (2) 'A' Level passes in Chemistry and Mathematics

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
INTERNATIONAL RELATIONS,"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",ODUDUWA,"Two (2) 'A' Level passes in Social Science subject from Government/History, Economics, Sociology and Business Management.","Five (5) SSC credit passes to include English Language, Government or History and three (3) relevant subjects.","Economics, Literature in English and Geography/Government/History."
LAW,"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",ODUDUWA,[Not Available],[Not Available],[Not Available]
MASS COMMUNICATION,"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",ODUDUWA,Two (2) 'A' Level passes in Arts or Social Science subjects.,Five (5) SSC credit passes in English Language and four (4) other subjects in Arts or Social Sciences.,Any three (3) from Arts or Social Science subjects.
MATHEMATICS WITH STATISTICS,"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",ODUDUWA,")       Two (2) 'A' Level passes in Mathematics and either Physics or Chemistry

(ii)           NCE merit in Mathematics and either Physics or Chemistry","Five (5) SSC credit passes to include English Language, Mathematics and at least three(3) of Physics, Chemistry, Biology and Additional/Further Mathematics.","Maths, Physics and Chemistry or Biology"
MECHANICAL ENGINEERING,"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",ODUDUWA,"(i)        Two (2) 'A' Level passes from Chemistry, Physics and Mathematics.

(ii)       ND upper credit, NCE technical and HND in Mech. Engineering.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and any other Science subject.","Mathematics, Physics and Chemistry."
MICROBIOLOGY,"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",ODUDUWA,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
NURSING SCIENCE,"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",ODUDUWA,[Not Available],[Not Available],[Not Available]
PHYSICS,"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",ODUDUWA,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
POLITICAL SCIENCE,"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",ODUDUWA,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Government or History plus two (2) other Social Science/Arts subjects.
PUBLIC ADMINISTRATION,"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",ODUDUWA,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
QUANTITY SURVEYING,"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",ODUDUWA,"(i)       Two (2) 'A' Level passes chosen from Mathematics or Physics and Chemistry, Geography or Fine Arts.

ND/HND upper credits in relevant field.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any of Fine Art, Geography or Wood Work, Biology, Economics, Technical Drawing, Further. Mathematics., Introduction to Building Construction, Bricklaying/Block laying, Concreting, Wall, Floors and Ceiling Finishing, Joinery, Carpentary, Decorative Painting, Lining, Sign and Design, Wall Hanging, Colour Mixing/Matching and Glazing, Ceramics, Graphics Design, Graphic Printing, Basic Electricity.","Physics, Mathematics, and any of Chemistry, Geography, Art, Biology and Economics."
STATISTICS,"ODUDUWA UNIVERSITY, IPETUMODU, OSUN STATE",ODUDUWA,"Two (2) 'A' Level passes to include Mathematics or Statistics.

NCE credit in relevant subjects.","Five (5) SSC credit passes to include English Language, Mathematics and at least three (3) subjects from Physics, Statistics, Chemistry, Further Mathematics, Economics and Geography.","Mathematics and any two (2) of Physics, Chemistry and Economics."
