Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"PAN-ATLANTIC UNIVERSITY, KM 52 LEKKI-EPE EXPRESSWAY, IBEJU-LEKKI, LAGOS STATE",PANATLANT,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
BANKING & FINANCE,"PAN-ATLANTIC UNIVERSITY, KM 52 LEKKI-EPE EXPRESSWAY, IBEJU-LEKKI, LAGOS STATE",PANATLANT,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BUSINESS ADMINISTRATION,"PAN-ATLANTIC UNIVERSITY, KM 52 LEKKI-EPE EXPRESSWAY, IBEJU-LEKKI, LAGOS STATE",PANATLANT,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
COMPUTER SCIENCE,"PAN-ATLANTIC UNIVERSITY, KM 52 LEKKI-EPE EXPRESSWAY, IBEJU-LEKKI, LAGOS STATE",PANATLANT,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
DATA SCIENCE,"PAN-ATLANTIC UNIVERSITY, KM 52 LEKKI-EPE EXPRESSWAY, IBEJU-LEKKI, LAGOS STATE",PANATLANT,[Not Available],[Not Available],[Not Available]
ECONOMICS,"PAN-ATLANTIC UNIVERSITY, KM 52 LEKKI-EPE EXPRESSWAY, IBEJU-LEKKI, LAGOS STATE",PANATLANT,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
ELECTRICAL/ELECTRONICS ENGINEERING,"PAN-ATLANTIC UNIVERSITY, KM 52 LEKKI-EPE EXPRESSWAY, IBEJU-LEKKI, LAGOS STATE",PANATLANT,"Two (2) 'A' Level passes in Mathematics, Physics or Chemistry","Five (5) SSC credit passes to include Mathematics, Physics, Chemistry, English Language and any other Science subject.","Mathematics, Physics and Chemistry"
FILM AND MULTIMEDIA STUDIES,"PAN-ATLANTIC UNIVERSITY, KM 52 LEKKI-EPE EXPRESSWAY, IBEJU-LEKKI, LAGOS STATE",PANATLANT,[Not Available],[Not Available],[Not Available]
INDUSTRIAL RELATIONS & PERSONNEL MGT,"PAN-ATLANTIC UNIVERSITY, KM 52 LEKKI-EPE EXPRESSWAY, IBEJU-LEKKI, LAGOS STATE",PANATLANT,"Two (2) 'A' Level passes chosen from Economics, Accounting, Business Management, Government, Geography and Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics plus any two (2) subjects listed under the Direct Entry column.","Mathematics, Economics and one other subject."
INFORMATION SCIENCE & MEDIA STUDIES,"PAN-ATLANTIC UNIVERSITY, KM 52 LEKKI-EPE EXPRESSWAY, IBEJU-LEKKI, LAGOS STATE",PANATLANT,"(i) Two (2)'A' Level passes in relevant subjects.

(ii) NCE/ND in relevant subject/programmes",Five (5)SSC credit passes including English Language and Mathematics.,Any three (3) Arts or Social Science subjects
MARKETING,"PAN-ATLANTIC UNIVERSITY, KM 52 LEKKI-EPE EXPRESSWAY, IBEJU-LEKKI, LAGOS STATE",PANATLANT,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
MASS COMMUNICATION,"PAN-ATLANTIC UNIVERSITY, KM 52 LEKKI-EPE EXPRESSWAY, IBEJU-LEKKI, LAGOS STATE",PANATLANT,Two (2) 'A' Level passes in Arts or Social Science subjects.,Five (5) SSC credit passes in English Language and four (4) other subjects in Arts or Social Sciences.,Any three (3) from Arts or Social Science subjects.
MECHANICAL ENGINEERING,"PAN-ATLANTIC UNIVERSITY, KM 52 LEKKI-EPE EXPRESSWAY, IBEJU-LEKKI, LAGOS STATE",PANATLANT,"(i)         Two (2) 'A' Level passes from Chemistry, Physics and Mathematics.

(ii)        ND upper credit, NCE technical and HND in Mech. Engineering.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and any other Science subject.","Mathematics, Physics and Chemistry."
MECHATRONICS ENGINEERING,"PAN-ATLANTIC UNIVERSITY, KM 52 LEKKI-EPE EXPRESSWAY, IBEJU-LEKKI, LAGOS STATE",PANATLANT,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"PAN-ATLANTIC UNIVERSITY, KM 52 LEKKI-EPE EXPRESSWAY, IBEJU-LEKKI, LAGOS STATE",PANATLANT,[Not Available],[Not Available],[Not Available]
