Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"PEACELAND UNIVERSITY, ENUGU, ENUGU STATE",PEACELAND-UNI,[Not Available],[Not Available],[Not Available]
BIOTECHNOLOGY,"PEACELAND UNIVERSITY, ENUGU, ENUGU STATE",PEACELAND-UNI,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"PEACELAND UNIVERSITY, ENUGU, ENUGU STATE",PEACELAND-UNI,[Not Available],[Not Available],[Not Available]
CRIMINOLOGY AND SECURITY STUDIES,"PEACELAND UNIVERSITY, ENUGU, ENUGU STATE",PEACELAND-UNI,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"PEACELAND UNIVERSITY, ENUGU, ENUGU STATE",PEACELAND-UNI,[Not Available],[Not Available],[Not Available]
ECONOMICS,"PEACELAND UNIVERSITY, ENUGU, ENUGU STATE",PEACELAND-UNI,[Not Available],[Not Available],[Not Available]
EDUCATION AND BIOLOGY,"PEACELAND UNIVERSITY, ENUGU, ENUGU STATE",PEACELAND-UNI,[Not Available],[Not Available],[Not Available]
EDUCATION AND COMPUTER SCIENCE,"PEACELAND UNIVERSITY, ENUGU, ENUGU STATE",PEACELAND-UNI,[Not Available],[Not Available],[Not Available]
EDUCATION AND ECONOMICS,"PEACELAND UNIVERSITY, ENUGU, ENUGU STATE",PEACELAND-UNI,[Not Available],[Not Available],[Not Available]
EDUCATIONAL MANAGEMENT,"PEACELAND UNIVERSITY, ENUGU, ENUGU STATE",PEACELAND-UNI,[Not Available],[Not Available],[Not Available]
ENTREPRENEURSHIP,"PEACELAND UNIVERSITY, ENUGU, ENUGU STATE",PEACELAND-UNI,[Not Available],[Not Available],[Not Available]
GUIDANCE AND COUNSELLING,"PEACELAND UNIVERSITY, ENUGU, ENUGU STATE",PEACELAND-UNI,[Not Available],[Not Available],[Not Available]
INDUSTRIAL CHEMISTRY,"PEACELAND UNIVERSITY, ENUGU, ENUGU STATE",PEACELAND-UNI,[Not Available],[Not Available],[Not Available]
INTERNATIONAL RELATIONS AND DIPLOMACY,"PEACELAND UNIVERSITY, ENUGU, ENUGU STATE",PEACELAND-UNI,[Not Available],[Not Available],[Not Available]
MANAGEMENT,"PEACELAND UNIVERSITY, ENUGU, ENUGU STATE",PEACELAND-UNI,[Not Available],[Not Available],[Not Available]
MEDICAL LABORATORY SCIENCE,"PEACELAND UNIVERSITY, ENUGU, ENUGU STATE",PEACELAND-UNI,[Not Available],[Not Available],[Not Available]
MICROBIOLOGY,"PEACELAND UNIVERSITY, ENUGU, ENUGU STATE",PEACELAND-UNI,[Not Available],[Not Available],[Not Available]
NURSING SCIENCE,"PEACELAND UNIVERSITY, ENUGU, ENUGU STATE",PEACELAND-UNI,[Not Available],[Not Available],[Not Available]
PHYSICS WITH ELECTRONICS,"PEACELAND UNIVERSITY, ENUGU, ENUGU STATE",PEACELAND-UNI,[Not Available],[Not Available],[Not Available]
PUBLIC HEALTH,"PEACELAND UNIVERSITY, ENUGU, ENUGU STATE",PEACELAND-UNI,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"PEACELAND UNIVERSITY, ENUGU, ENUGU STATE",PEACELAND-UNI,[Not Available],[Not Available],[Not Available]
