Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"PEN RESOURCE UNIVERSITY, GOMBE, GOMBE STATE",PRU,"Two (2) ‘A-Level passes chosen from Economics, Accounting, Business Management, Government, and Geography.","Five (5) SSCE credit passes to include English  Language, Mathematics, Economics and any other two   (2)   Subjects in relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice, and Secretarial studies.","Mathematics, Economics plus any Social Science subject."
ARCHITECTURE,"PEN RESOURCE UNIVERSITY, GOMBE, GOMBE STATE",PRU,"(i) Two (2) 'A-Level passes chosen from Mathematics or Physics and Chemistry, Geography Technical Drawing or Fine Arts. (ii) ND/HND upper credits in relevant field.","Five (5) SSC credit passes in English Language, Mathematics, Physics, and any of Fine Art, Geography, Technical Drawing or Wood Work, Biology, Economics,  Further Mathematics., Introduction to Building Construction, Bricklaying/Block laying, Concreting, Wall, Floors and Ceiling Finishing, Joinery, Carpentry, Decorative Painting, Lining, Sign and Design, Wall Hanging, Colour Mixing/Matching and Glazing, Ceramics, Graphics Design, Graphic Printing, Basic Electricity.","Physics, Mathematics, and any of Chemistry, Geography, Art, Biology, and Economics."
BIOTECHNOLOGY,"PEN RESOURCE UNIVERSITY, GOMBE, GOMBE STATE",PRU,[Not Available],[Not Available],[Not Available]
BUILDING,"PEN RESOURCE UNIVERSITY, GOMBE, GOMBE STATE",PRU,"(i) Two (2) 'A-Level passes chosen from Mathematics or Physics and Chemistry, Geography Technical Drawing or Fine Arts. (ii) ND/HND upper credits in relevant field.","Five (5) SSC credit passes in English Language, Mathematics, Physics, and any of Fine Art, Geography, Technical Drawing or Wood Work, Biology, Economics,  Further Mathematics., Introduction to Building Construction, Bricklaying/Block laying, Concreting, Wall, Floors and Ceiling Finishing, Joinery, Carpentry, Decorative Painting, Lining, Sign and Design, Wall Hanging, Colour Mixing/Matching and Glazing, Ceramics, Graphics Design, Graphic Printing, Basic Electricity.","Physics, Mathematics, and any of Chemistry, Geography, Art, Biology, and Economics."
BUSINESS ADMINISTRATION,"PEN RESOURCE UNIVERSITY, GOMBE, GOMBE STATE",PRU,"Two (2) ‘A-Level passes were chosen from Economics, Accounting, Business Management, Government, and Geography.","Five (5) SSCE credit passes to include English  Language, Mathematics, Economics, and any other two   (2)   other subjects. For NBC holders, the other two (2) relevant subjects could be from any of the Principles of Accounts, Commerce, Office Practice, and Secretarial Duties.","Mathematics, Economics plus any Social Science subject."
COMMON AND ISLAMIC LAW,"PEN RESOURCE UNIVERSITY, GOMBE, GOMBE STATE",PRU,Two (2)A’ level passes to include Islamic Studies or Arabic,Five (5)'O' Level credit passes in Arts or Social Sciences to include English Language and Islamic Studies or Arabic.,Any three (3) Arts or Social Science subjects including Arabic or Islamic Studies
COMMON LAW,"PEN RESOURCE UNIVERSITY, GOMBE, GOMBE STATE",PRU,"(i) Two (2) 'A-Level passes in Arts or Social Science subjects.

(ii) NCE/ND/First Degree (Second Class Lower).","Five    (5)'O'    Level credit passes include English Language, Literature in English, and Mathematics.",Literature in English and any two (2) Arts or Social Science subjects.
COMPUTER SCIENCE,"PEN RESOURCE UNIVERSITY, GOMBE, GOMBE STATE",PRU,"'A-Level passes in Mathematics, Physics, and Chemistry or ND/HND in Computer Science.","Five (5) SSC credit passes in Mathematics, English Language and Physics and any  two (2) of Chemistry, Biology Geography and Computer studies","Maths, Physics and any one of Chemistry, Physics, Biology or Geography."
CYBER SECURITY,"PEN RESOURCE UNIVERSITY, GOMBE, GOMBE STATE",PRU,"'A-Level passes in Mathematics, Physics, and Chemistry or ND/HND in Computer Science.","Five (5) SSC credit passes in Mathematics, English Language, and Physics and any  two (2) of Chemistry, Biology Geography, and Computer studies","Maths, Physics and any one of Chemistry, Physics, Biology or Geography."
DATA SCIENCE,"PEN RESOURCE UNIVERSITY, GOMBE, GOMBE STATE",PRU,[Not Available],[Not Available],[Not Available]
