Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
BIOTECHNOLOGY,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
CRIMINOLOGY AND SECURITY STUDIES,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
ECONOMICS,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
FORENSIC SCIENCE,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
INDUSTRIAL CHEMISTRY,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
INFORMATION SYSTEMS,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
INFORMATION TECHNOLOGY,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
INTERNATIONAL RELATIONS AND DIPLOMACY,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
LAW,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
MASS COMMUNICATION,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
MATHEMATICS,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
MATHEMATICS & STATISTICS,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
MICROBIOLOGY,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
NURSING SCIENCE,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
PEACE STUDIES AND CONFLICT RESOLUTION,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
PHYSICS WITH ELECTRONICS,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
POLITICAL SCIENCE,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
PUBLIC HEALTH,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
STATISTICS,"PETER UNIVERSITY, ACHINA-ONNEH, ANAMBRA STATE",PETER-UNI,[Not Available],[Not Available],[Not Available]
