Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"PHILOMATH UNIVERSITY, KUJE, ABUJA, FCT",PHILOMATH,[Not Available],[Not Available],[Not Available]
ARCHITECTURE,"PHILOMATH UNIVERSITY, KUJE, ABUJA, FCT",PHILOMATH,[Not Available],[Not Available],[Not Available]
BANKING & FINANCE,"PHILOMATH UNIVERSITY, KUJE, ABUJA, FCT",PHILOMATH,"(i) Two (2) 'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.










(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BIOCHEMISTRY,"PHILOMATH UNIVERSITY, KUJE, ABUJA, FCT",PHILOMATH,[Not Available],[Not Available],[Not Available]
BIOTECHNOLOGY,"PHILOMATH UNIVERSITY, KUJE, ABUJA, FCT",PHILOMATH,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"PHILOMATH UNIVERSITY, KUJE, ABUJA, FCT",PHILOMATH,Two (2) 'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
COMPUTER SCIENCE,"PHILOMATH UNIVERSITY, KUJE, ABUJA, FCT",PHILOMATH,[Not Available],[Not Available],[Not Available]
CRIMINOLOGY & SECURITY STUDIES,"PHILOMATH UNIVERSITY, KUJE, ABUJA, FCT",PHILOMATH,"Two (2) 'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies /Islamic Studies."
CYBER SECURITY,"PHILOMATH UNIVERSITY, KUJE, ABUJA, FCT",PHILOMATH,[Not Available],[Not Available],[Not Available]
DATA SCIENCE,"PHILOMATH UNIVERSITY, KUJE, ABUJA, FCT",PHILOMATH,[Not Available],[Not Available],[Not Available]
ECONOMICS,"PHILOMATH UNIVERSITY, KUJE, ABUJA, FCT",PHILOMATH,"Two (2) 'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies /Islamic Studies."
ENTREPRENEURSHIP,"PHILOMATH UNIVERSITY, KUJE, ABUJA, FCT",PHILOMATH,"Two (2) 'A' Level passes to include Economics and at least one of, Accounts, Business Management, Government, Geography or Mathematics.","Five (5) SSC credit passes to include English Language, Mathematics, Economics, one Science subject and one other Social Science or Commercial subject.","Economics, Mathematics and one other Social Science or Commercial subject."
INFORMATION & COMMUNICATION TECHNOLOGY,"PHILOMATH UNIVERSITY, KUJE, ABUJA, FCT",PHILOMATH,[Not Available],[Not Available],[Not Available]
INFORMATION SYSTEMS,"PHILOMATH UNIVERSITY, KUJE, ABUJA, FCT",PHILOMATH,[Not Available],[Not Available],[Not Available]
INFORMATION TECHNOLOGY,"PHILOMATH UNIVERSITY, KUJE, ABUJA, FCT",PHILOMATH,[Not Available],[Not Available],[Not Available]
INTERNATIONAL RELATIONS,"PHILOMATH UNIVERSITY, KUJE, ABUJA, FCT",PHILOMATH,"Two (2) 'A' Level passes in Social Science subject from Government/History, Economics, Sociology and Business Management.","Five (5) SSC credit passes to include English Language, Government or History and three (3) relevant subjects.","Economics, Literature in English and Geography/Government/History."
LAW,"PHILOMATH UNIVERSITY, KUJE, ABUJA, FCT",PHILOMATH,"(i)    Two (2)'A' Level passes in Arts or Social Science subjects.

 

(ii)   NCE/ND/First Degree (Second Class Lower).","Five (5)'O' Level credit passes to include English Language, Literature in         English and Mathematics.",Any three (3) Arts or Social Science subjects.
MICROBIOLOGY,"PHILOMATH UNIVERSITY, KUJE, ABUJA, FCT",PHILOMATH,[Not Available],[Not Available],[Not Available]
POLITICAL SCIENCE,"PHILOMATH UNIVERSITY, KUJE, ABUJA, FCT",PHILOMATH,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Government or History plus two (2) other Social Science/Arts subjects.
PUBLIC ADMINISTRATION,"PHILOMATH UNIVERSITY, KUJE, ABUJA, FCT",PHILOMATH,Two (2) 'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
SOFTWARE ENGINEERING,"PHILOMATH UNIVERSITY, KUJE, ABUJA, FCT",PHILOMATH,[Not Available],[Not Available],[Not Available]
