Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
AGRIBUSINESS,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
AGRICULTURAL ECONOMICS,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
AGRICULTURE,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
BANKING & FINANCE,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
ECONOMICS,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
ENTREPRENEURSHIP AND INNOVATION,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
FORENSIC SCIENCE,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
INFORMATION AND COMMUNICATION TECHNOLOGY,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
INFORMATION SYSTEMS,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
INTERNATIONAL RELATIONS AND DIPLOMACY,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
LOGISTICS AND SUPPLY CHAIN MANAGEMENT,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
MATHEMATICS,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
MICROBIOLOGY,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
PHYSICS WITH ELECTRONICS,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
POLITICAL SCIENCE,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
PROCUREMENT,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
PROJECT MANAGEMENT,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
PUBLIC ADMINISTRATION,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
STATISTICS,"PHOENIX UNIVERSITY, AGWADA, NASARAWA STATE",PHOENIX,[Not Available],[Not Available],[Not Available]
