Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"PRIME UNIVERSITY, KUJE, ABUJA",PRIME-UNI,[Not Available],[Not Available],[Not Available]
ACTUARIAL SCIENCE,"PRIME UNIVERSITY, KUJE, ABUJA",PRIME-UNI,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"PRIME UNIVERSITY, KUJE, ABUJA",PRIME-UNI,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"PRIME UNIVERSITY, KUJE, ABUJA",PRIME-UNI,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"PRIME UNIVERSITY, KUJE, ABUJA",PRIME-UNI,[Not Available],[Not Available],[Not Available]
CRIMINOLOGY AND SECURITY STUDIES,"PRIME UNIVERSITY, KUJE, ABUJA",PRIME-UNI,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"PRIME UNIVERSITY, KUJE, ABUJA",PRIME-UNI,[Not Available],[Not Available],[Not Available]
ECONOMICS AND DEVELOPMENTAL STUDIES,"PRIME UNIVERSITY, KUJE, ABUJA",PRIME-UNI,[Not Available],[Not Available],[Not Available]
FINANCE AND INVESTMENT STUDIES,"PRIME UNIVERSITY, KUJE, ABUJA",PRIME-UNI,[Not Available],[Not Available],[Not Available]
FORENSIC SCIENCE,"PRIME UNIVERSITY, KUJE, ABUJA",PRIME-UNI,[Not Available],[Not Available],[Not Available]
INFORMATION SYSTEM,"PRIME UNIVERSITY, KUJE, ABUJA",PRIME-UNI,[Not Available],[Not Available],[Not Available]
LAW,"PRIME UNIVERSITY, KUJE, ABUJA",PRIME-UNI,[Not Available],[Not Available],[Not Available]
MASS COMMUNICATION,"PRIME UNIVERSITY, KUJE, ABUJA",PRIME-UNI,[Not Available],[Not Available],[Not Available]
MICROBIOLOGY,"PRIME UNIVERSITY, KUJE, ABUJA",PRIME-UNI,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"PRIME UNIVERSITY, KUJE, ABUJA",PRIME-UNI,[Not Available],[Not Available],[Not Available]
TAXATION,"PRIME UNIVERSITY, KUJE, ABUJA",PRIME-UNI,[Not Available],[Not Available],[Not Available]
