Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"REDEEMERS UNIVERSITY, EDE, OSUN STATE",REDEEMERS,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
ACTUARIAL SCIENCE,"REDEEMERS UNIVERSITY, EDE, OSUN STATE",REDEEMERS,Two (2) ‘A’ Level passes to include Economics and Mathematics.,"Five (5) SSC credit passes to include English Language, Mathematics and Economics plus any other two (2)            relevant subjects.","Mathematics, Economics and one (1) other subject."
APPLIED BIOLOGY & GENETICS,"REDEEMERS UNIVERSITY, EDE, OSUN STATE",REDEEMERS,Two (2) 'A' Level passes in Biology and either Chemistry or Physics.,"Five (5) SSC credit passes  in English Language, Biology, Mathematics, Chemistry and any one (1) of  Health  Science, Statistics, Physics and Geography.","Chemistry, Biology and either Physics or Mathematics."
APPLIED GEOPHYSICS,"REDEEMERS UNIVERSITY, EDE, OSUN STATE",REDEEMERS,'A' Level passes in Chemistry and Physics or Mathematics,"Five (5) SSC credit passes including English Language, Mathematics, Physics and Chemistry/Biology","Any three (3) of Physics, Chemistry, Biology and Mathematics"
ARCHITECTURE,"REDEEMERS UNIVERSITY, EDE, OSUN STATE",REDEEMERS,"(i)       Two (2) 'A' Level passes chosen from Mathematics or Physics and Chemistry, Geography or Fine Arts.

(ii)  ND/HND upper credits in relevant field.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any of Fine Art, Geography or Wood Work, Biology, Economics, Technical Drawing, Further. Mathematics., Introduction to Building Construction, Bricklaying/Block laying, Concreting, Wall, Floors and Ceiling Finishing, Joinery, Carpentary, Decorative Painting, Lining, Sign and Design, Wall Hanging, Colour Mixing/Matching and Glazing, Ceramics, Graphics Design, Graphic Printing, Basic Electricity.","Physics, Mathematics, and any of Chemistry, Geography, Art, Biology and Economics."
BANKING & FINANCE,"REDEEMERS UNIVERSITY, EDE, OSUN STATE",REDEEMERS,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BIOCHEMISTRY,"REDEEMERS UNIVERSITY, EDE, OSUN STATE",REDEEMERS,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BUILDING TECHNOLOGY,"REDEEMERS UNIVERSITY, EDE, OSUN STATE",REDEEMERS,"'A' Level passes in Mathematics, Physics and Chemistry.","Five (5) SSC credit passes in Mathematics, English Language, Physics, Chemistry and any one of Geography, Economics, Arts and Technical drawing. For holders of NTC,  the other relevant subjects could be Intro. to Building Construction, Bricklaying, Concreting, Walls, Floors and Ceiling Finishing, Building/Engineering Drawing, Joinery, Carpentry, Gas, Steam Work and Bronze Welding, Cold  /   Hot Water Supply, Sanitation and Drainage.","Mathematics, Physics and Chemistry"
BUSINESS ADMINISTRATION,"REDEEMERS UNIVERSITY, EDE, OSUN STATE",REDEEMERS,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
CHEMICAL ENGINEERING,"REDEEMERS UNIVERSITY, EDE, OSUN STATE",REDEEMERS,[Not Available],[Not Available],[Not Available]
CHRISTIAN RELIGIOUS STUDIES,"REDEEMERS UNIVERSITY, EDE, OSUN STATE",REDEEMERS,Two (2) ‘A’ Level passes/NCE to include CRS/Religious Studies.,"Five (5) SSC credit passes in English Language, CRS and three (3) other relevant subjects.",Two (2) Arts subjects including CRS and any other subject.
CIVIL ENGINEERING,"REDEEMERS UNIVERSITY, EDE, OSUN STATE",REDEEMERS,"(i)       'A' Level passes in Physics and Mathematics.

(ii)     ND/HND upper credit at appropriate levels.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and one Science subject","Physics, Chemistry and Mathematics"
