Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
BIOCHEMISTRY,"SAISA UNIVERSITY OF MEDICAL SCIENCE AND TECHNOLOGY, SOKOTO, SOKOTO STATE",SAISA,[Not Available],[Not Available],[Not Available]
BIOTECHNOLOGY,"SAISA UNIVERSITY OF MEDICAL SCIENCE AND TECHNOLOGY, SOKOTO, SOKOTO STATE",SAISA,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"SAISA UNIVERSITY OF MEDICAL SCIENCE AND TECHNOLOGY, SOKOTO, SOKOTO STATE",SAISA,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"SAISA UNIVERSITY OF MEDICAL SCIENCE AND TECHNOLOGY, SOKOTO, SOKOTO STATE",SAISA,[Not Available],[Not Available],[Not Available]
INDUSTRIAL CHEMISTRY,"SAISA UNIVERSITY OF MEDICAL SCIENCE AND TECHNOLOGY, SOKOTO, SOKOTO STATE",SAISA,[Not Available],[Not Available],[Not Available]
INDUSTRIAL MATHEMATICS,"SAISA UNIVERSITY OF MEDICAL SCIENCE AND TECHNOLOGY, SOKOTO, SOKOTO STATE",SAISA,[Not Available],[Not Available],[Not Available]
INFORMATION TECHNOLOGY,"SAISA UNIVERSITY OF MEDICAL SCIENCE AND TECHNOLOGY, SOKOTO, SOKOTO STATE",SAISA,[Not Available],[Not Available],[Not Available]
MEDICAL LABORATORY SCIENCE,"SAISA UNIVERSITY OF MEDICAL SCIENCE AND TECHNOLOGY, SOKOTO, SOKOTO STATE",SAISA,[Not Available],[Not Available],[Not Available]
MICROBIOLOGY,"SAISA UNIVERSITY OF MEDICAL SCIENCE AND TECHNOLOGY, SOKOTO, SOKOTO STATE",SAISA,[Not Available],[Not Available],[Not Available]
NURSING SCIENCE,"SAISA UNIVERSITY OF MEDICAL SCIENCE AND TECHNOLOGY, SOKOTO, SOKOTO STATE",SAISA,[Not Available],[Not Available],[Not Available]
PHYSICS WITH ELECTRONICS,"SAISA UNIVERSITY OF MEDICAL SCIENCE AND TECHNOLOGY, SOKOTO, SOKOTO STATE",SAISA,[Not Available],[Not Available],[Not Available]
PUBLIC HEALTH,"SAISA UNIVERSITY OF MEDICAL SCIENCE AND TECHNOLOGY, SOKOTO, SOKOTO STATE",SAISA,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"SAISA UNIVERSITY OF MEDICAL SCIENCE AND TECHNOLOGY, SOKOTO, SOKOTO STATE",SAISA,[Not Available],[Not Available],[Not Available]
STATISTICS,"SAISA UNIVERSITY OF MEDICAL SCIENCE AND TECHNOLOGY, SOKOTO, SOKOTO STATE",SAISA,[Not Available],[Not Available],[Not Available]
