Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTANCY/ACCOUNTING,"SAMUEL ADEGBOYEGA UNIVERSITY, OGWA, EDO STATE",SAU,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.?","Mathematics, Economics plus any Social Science subject."
ACCOUNTING,"SAMUEL ADEGBOYEGA UNIVERSITY, OGWA, EDO STATE",SAU,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
BANKING & FINANCE,"SAMUEL ADEGBOYEGA UNIVERSITY, OGWA, EDO STATE",SAU,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BIOCHEMISTRY,"SAMUEL ADEGBOYEGA UNIVERSITY, OGWA, EDO STATE",SAU,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BUSINESS ADMINISTRATION,"SAMUEL ADEGBOYEGA UNIVERSITY, OGWA, EDO STATE",SAU,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
CHEMISTRY,"SAMUEL ADEGBOYEGA UNIVERSITY, OGWA, EDO STATE",SAU,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"SAMUEL ADEGBOYEGA UNIVERSITY, OGWA, EDO STATE",SAU,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"SAMUEL ADEGBOYEGA UNIVERSITY, OGWA, EDO STATE",SAU,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
ENGLISH LANGUAGE,"SAMUEL ADEGBOYEGA UNIVERSITY, OGWA, EDO STATE",SAU,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
EUROPEAN & NIGERIAN LANGUAGES,"SAMUEL ADEGBOYEGA UNIVERSITY, OGWA, EDO STATE",SAU,Two (2) 'A' Level passes in Literature in English and any other Arts subject.,Five (5) SSC credit passes including English Language and Literature in English.,"Literature in English, one other Arts subject and another Arts or Social Science subject."
FRENCH,"SAMUEL ADEGBOYEGA UNIVERSITY, OGWA, EDO STATE",SAU,Two (2) ‘A’ Level passes including French and one other Arts subject.,Five (5) SSC credit passes including French and English Language plus one other Arts subject.,French and any other two (2) subjects from Arts and Social Sciences.
HISTORY,"SAMUEL ADEGBOYEGA UNIVERSITY, OGWA, EDO STATE",SAU,Two (2) ‘A’ Level passes in History and any other related subjects.,Five (5) SSC credit passes to include History and English Language.,History and any other two (2) subjects from Arts and Social Sciences.
INDUSTRIAL CHEMISTRY,"SAMUEL ADEGBOYEGA UNIVERSITY, OGWA, EDO STATE",SAU,"(i)    Two (2) 'A' Level passes in Chemistry and Mathematics

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
LAW,"SAMUEL ADEGBOYEGA UNIVERSITY, OGWA, EDO STATE",SAU,"(i)    Two (2)'A' Level passes in Arts or Social Science subjects.

(ii)   NCE/ND/First Degree (Second Class Lower).","Five (5)'O' Level credit passes to include English Language, Literature in         English and Mathematics",Any three (3) Arts or Social Science subjects
