Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"SAM MARIS UNIVERSITY, SUPARE-AKOKO, ONDO STATE",SAM-MARIS,[Not Available],[Not Available],[Not Available]
ARCHITECTURE,"SAM MARIS UNIVERSITY, SUPARE-AKOKO, ONDO STATE",SAM-MARIS,[Not Available],[Not Available],[Not Available]
BUILDING,"SAM MARIS UNIVERSITY, SUPARE-AKOKO, ONDO STATE",SAM-MARIS,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"SAM MARIS UNIVERSITY, SUPARE-AKOKO, ONDO STATE",SAM-MARIS,[Not Available],[Not Available],[Not Available]
CRIMINOLOGY AND SECURITY STUDIES,"SAM MARIS UNIVERSITY, SUPARE-AKOKO, ONDO STATE",SAM-MARIS,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"SAM MARIS UNIVERSITY, SUPARE-AKOKO, ONDO STATE",SAM-MARIS,[Not Available],[Not Available],[Not Available]
ECONOMICS,"SAM MARIS UNIVERSITY, SUPARE-AKOKO, ONDO STATE",SAM-MARIS,[Not Available],[Not Available],[Not Available]
ENTREPRENEURSHIP,"SAM MARIS UNIVERSITY, SUPARE-AKOKO, ONDO STATE",SAM-MARIS,[Not Available],[Not Available],[Not Available]
ENVIRONMENTAL MANAGEMENT,"SAM MARIS UNIVERSITY, SUPARE-AKOKO, ONDO STATE",SAM-MARIS,[Not Available],[Not Available],[Not Available]
ESTATE MANAGEMENT,"SAM MARIS UNIVERSITY, SUPARE-AKOKO, ONDO STATE",SAM-MARIS,[Not Available],[Not Available],[Not Available]
INFORMATION & COMMUNICATION TECHNOLOGY,"SAM MARIS UNIVERSITY, SUPARE-AKOKO, ONDO STATE",SAM-MARIS,[Not Available],[Not Available],[Not Available]
INTERNATIONAL RELATIONS AND DIPLOMACY,"SAM MARIS UNIVERSITY, SUPARE-AKOKO, ONDO STATE",SAM-MARIS,[Not Available],[Not Available],[Not Available]
MASS COMMUNICATION,"SAM MARIS UNIVERSITY, SUPARE-AKOKO, ONDO STATE",SAM-MARIS,[Not Available],[Not Available],[Not Available]
PEACE AND CONFLICT STUDIES,"SAM MARIS UNIVERSITY, SUPARE-AKOKO, ONDO STATE",SAM-MARIS,[Not Available],[Not Available],[Not Available]
QUANTITY SURVEYING,"SAM MARIS UNIVERSITY, SUPARE-AKOKO, ONDO STATE",SAM-MARIS,[Not Available],[Not Available],[Not Available]
SURVEYING AND GEO-INFORMATICS,"SAM MARIS UNIVERSITY, SUPARE-AKOKO, ONDO STATE",SAM-MARIS,[Not Available],[Not Available],[Not Available]
TAXATION,"SAM MARIS UNIVERSITY, SUPARE-AKOKO, ONDO STATE",SAM-MARIS,[Not Available],[Not Available],[Not Available]
URBAN AND REGIONAL PLANNING,"SAM MARIS UNIVERSITY, SUPARE-AKOKO, ONDO STATE",SAM-MARIS,[Not Available],[Not Available],[Not Available]
