Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"SPORTS UNIVERSITY, IDUMUJE UGBOKO, DELTA STATE",SPORTS-UNI,Nil,"Five credit passes at not more than two sittings in the Senior School Certificate Examination (SSCE) or its equivalent-- West African Senior School Certificate Examination (WASSCE), National Examination Council (NECO), National Technical Certificate (NTC) or General Certificate of Education (GCE O/L) in relevant subjects. The relevant subjects are English Language, Mathematics, Economics and any other two subjects from the following: Chemistry, Physics, Further Mathematics, Statistics, Agricultural Science,  Biology, History and Geography.","English Language, Mathematics, Economics and any other subject."
BIOCHEMISTRY,"SPORTS UNIVERSITY, IDUMUJE UGBOKO, DELTA STATE",SPORTS-UNI,Nil,"Five credit passes at not more than two sittings in the Senior School Certificate Examination (SSCE) or its equivalent-- West African Senior School Certificate Examination (WASSCE), National Examination Council (NECO) or General Certificate of Education (GCE) in relevant subjects. The relevant subjects are English Language, Mathematics, Biology and any other two subjects from the following: Chemistry, Physics, Further Mathematics, Statistics, Agricultural Science, Geography and Economics.","English Language, Mathematics, Biology and any other subject."
BUSINESS ADMINISTRATION,"SPORTS UNIVERSITY, IDUMUJE UGBOKO, DELTA STATE",SPORTS-UNI,Nil,"Five credit passes at not more than two sittings in the Senior School Certificate Examination (SSCE) or its equivalent-- West African Senior School Certificate Examination (WASSCE), National Examination Council (NECO), National Technical Certificate (NTC) or General Certificate of Education (GCE O/L) in relevant subjects. The relevant subjects are English Language, Mathematics, Economics/Commerce, and any other two subjects from the following: Chemistry, Physics, Further  Mathematics, Statistics, Agricultural Science, Biology, History and Geography.","English Language, Mathematics, Economics/Commerce and any other subject."
COMPUTER SCIENCE,"SPORTS UNIVERSITY, IDUMUJE UGBOKO, DELTA STATE",SPORTS-UNI,Nil,"Five credit passes at not more than two sittings in the Senior School Certificate Examination (SSCE) or its equivalent-- West African Senior School Certificate Examination (WASSCE), National Examination Council (NECO), National Technical Certificate (NTC) in relevant subjects. The relevant subjects are English Language, Mathematics, Physics and any other two subjects from the following: Chemistry, Further Mathematics, Statistics, Agricultural Science, Biology, Geography and Economics.","English Language, Mathematics, Physics and any other subject."
CYBER SECURITY,"SPORTS UNIVERSITY, IDUMUJE UGBOKO, DELTA STATE",SPORTS-UNI,Nil,"Five credit passes at not more than two sittings in the Senior School Certificate Examination (SSCE) or its equivalent-- West African Senior School Certificate Examination (WASSCE), National Examination Council (NECO), National Technical Certificate (NTC) or General Certificate of Education (GCE) in relevant subjects.  The relevant subjects are English Language, Mathematics, Physics and any other two subjects from the following: Chemistry, Technical Drawing, Metal Works, Further Mathematics, Statistics, Agricultural Science, Biology, Geography, History and Economics.","English Language, Mathematics, Physics and any other subject."
ECONOMICS,"SPORTS UNIVERSITY, IDUMUJE UGBOKO, DELTA STATE",SPORTS-UNI,Nil,"Five credit passes at not more than two sittings in the Senior School Certificate Examination (SSCE) or its equivalent-- West African Senior School Certificate Examination (WASSCE), National Examination Council (NECO) or General Certificate of Education (GCE O/L) in relevant subjects. The relevant subjects are English Language, Mathematics, Economics and any other two subjects from the following: Geography, History/Government, Biology, Agricultural Science, Statistics, Chemistry, Physics, Further Mathematics and Fine Art.","English Language, Mathematics, Economics and any other subject."
ENTREPRENEURSHIP,"SPORTS UNIVERSITY, IDUMUJE UGBOKO, DELTA STATE",SPORTS-UNI,Nil,"Five credit passes at not more than two sittings in the Senior School Certificate Examination (SSCE) or its equivalent-- West African Senior School Certificate Examination (WASSCE), National Examination Council (NECO) or General Certificate of Education (GCE O/L) in relevant subjects. The relevant subjects are English Language, Mathematics, Economics and any other two other subjects from the following: Chemistry, Physics, Further Mathematics, Statistics, Agricultural Science, Biology, Geography, History and Fine Art.","English Language, Mathematics, Economics and any other subject."
INTERNATIONAL RELATIONS,"SPORTS UNIVERSITY, IDUMUJE UGBOKO, DELTA STATE",SPORTS-UNI,Nil,"Five credit passes at not more than two sittings in the Senior School Certificate Examination (SSCE) or its equivalent-- West African Senior School Certificate Examination (WASSCE), National Examination Council (NECO) or General Certificate of Education (GCE O/L) in relevant subjects. The relevant subjects are English Language, Mathematics, History/Government and any other two subjects from the following: Literature in English, Economics, Geography, Biology, Chemistry, Physics, Agricultural Science and Fine Art.","English Language, History/Government, Literature in English and any other subject."
MICROBIOLOGY,"SPORTS UNIVERSITY, IDUMUJE UGBOKO, DELTA STATE",SPORTS-UNI,Nil,"Five credit passes at not more than two sittings in the Senior School Certificate Examination (SSCE) or its equivalent-- West African Senior School Certificate Examination (WASSCE), National Examination Council (NECO) or General Certificate of Education (GCE O/L) in relevant subjects. The relevant subjects are English Language, Mathematics, Biology and any other two subjects from the following: Chemistry, Physics, Further Mathematics, Statistics, Agricultural Science, Geography and Economics.","English Language, Mathematics, Biology and any other subject."
NURSING,"SPORTS UNIVERSITY, IDUMUJE UGBOKO, DELTA STATE",SPORTS-UNI,Nil,"Five credit passes at not more than two sittings in the Senior School Certificate Examination (SSCE) or its equivalent-- West African Senior School Certificate Examination (WASSCE), National Examination Council (NECO) or General Certificate of Education (GCE O/L) in relevant subjects. The relevant subjects are English Language,Mathematics, Biology/Health Science and any other two subjects from the following: Chemistry, Further Mathematics, Statistics, Agricultural Science, Geography and Economics.","English Language, Mathematics, Biology/Health Science and any other subject."
PHYSICAL & HEALTH EDUCATION,"SPORTS UNIVERSITY, IDUMUJE UGBOKO, DELTA STATE",SPORTS-UNI,Nil,"Five credit passes at not more than two sittings in the Senior School Certificate Examination (SSCE) or its equivalent-- West African Senior School Certificate Examination (WASSCE), National Examination Council (NECO),National Technical Certificate (NTC) or General Certificate of Education (GCE) in relevant subjects.  The relevant subjects are English Language, Mathematics, Biology/Health Science and any two subjects from the following: Chemistry, Technical Drawing, Further Mathematics, Statistics, Agricultural Science, Physics, Geography, Economics, Literature, History and Fine Art.","English Language, Mathematics, Biology/Health Science and any other subject."
PHYSICS WITH ELECTRONICS,"SPORTS UNIVERSITY, IDUMUJE UGBOKO, DELTA STATE",SPORTS-UNI,Nil,"Five credit passes at not more than two sittings in the Senior School Certificate Examination (SSCE) or its equivalent-- West African Senior School Certificate Examination (WASSCE), National Examination Council (NECO),National Technical Certificate (NTC) in relevant subjects. The relevant subjects are English Language, Mathematics, Physics and any other two subjects from the following: Chemistry, Technical Drawing, Basic Electricity, Further Mathematics, Statistics, Agricultural Science, Biology, Geography, Economics and Fine Art.","English Language, Mathematics, Physics and any other subject."
PHYSIOTHERAPY,"SPORTS UNIVERSITY, IDUMUJE UGBOKO, DELTA STATE",SPORTS-UNI,Nil.,"Five credit passes at not more than two sittings in the Senior School Certificate Examination (SSCE) or its equivalent-- West African Senior School Certificate Examination (WASSCE), National Examination Council (NECO) or General Certificate of Education (GCE O/L) in relevant subjects. The relevant subjects are English Language, Mathematics, Biology and any other two subjects from the following: Chemistry, Physics, Further Mathematics, Statistics, Agricultural Science, Geography and Economics.","English Language, Mathematics, Biology/Health Science and any other subject."
PUBLIC ADMINISTRATION,"SPORTS UNIVERSITY, IDUMUJE UGBOKO, DELTA STATE",SPORTS-UNI,Nil,"Five credit passes at not more than two sittings in the Senior School Certificate Examination (SSCE) or its equivalent-- West African Senior School Certificate Examination (SSCE), National Examination Council (NECO) or General Certificate of Education (GCE O/L) in relevant subjects.  The relevant subjects are English Language, Mathematics, History/Government and any other two subjects from the following: Literature in English, Economics, Geography, Biology, Agricultural Science, Statistics, Chemistry, Further Mathematics and Fine Art.","English Language, History/Government, Literature in English  and any other subject."
