Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.","Mathematics, Economics plus any Social Science subject."
ANATOMY,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BUSINESS ADMINISTRATION,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,Two (2) 'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
CHEMISTRY,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,"(i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
CIVIL ENGINEERING,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,[Not Available],[Not Available],[Not Available]
COMMUNICATION ENGINEERING,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,[Not Available],[Not Available],[Not Available]
COMPUTER ENGINEERING,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CRIMINOLOGY & SECURITY STUDIES,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,"Two (2) 'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies /Islamic Studies."
Doctor of Physiothearapy,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,[Not Available],[Not Available],[Not Available]
DOCTOR OF PHYSIOTHERAPY,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,[Not Available],[Not Available],[Not Available]
ECONOMICS,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,"Two (2) 'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies /Islamic Studies."
ELECTRICAL AND ELECTRONICS ENGINEERING,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,[Not Available],[Not Available],[Not Available]
ENGLISH AND LITERARY STUDIES,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,[Not Available],[Not Available],[Not Available]
ENVIRONMENTAL HEALTH SCIENCE,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,[Not Available],[Not Available],[Not Available]
LAW,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,[Not Available],[Not Available],[Not Available]
MASS COMMUNICATION,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,Two (2) 'A' Level passes in Arts or Social Science subjects.,Five (5) SSC credit passes in English Language and four (4) other subjects in Arts or Social Sciences.,Any three (3) from Arts or Social Science subjects.
MATHEMATICS,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,"(i) Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics.","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
MECHANICAL ENGINEERING,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,[Not Available],[Not Available],[Not Available]
MEDICAL LABORATORY SCIENCE,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,"'A' Level passes   to include Physics, Chemistry and Biology or Zoology","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology","Physics, Chemistry and Biology"
MICROBIOLOGY,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
NURSING,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,"(i)              Two (2) 'A' Level passes in Biology/ Zoology, Chemistry and Physics plus  three (3) other 'O' Level credit passes in Mathematics, Physics and English Language.

 

(ii)            NRN or its approved equivalent plus five (5) 'O' Level credit passes  in English Language and four (4) Science subjects chosen from Mathematics, Physics, Chemistry, Biology, Human Anatomy, Physiology and Hygiene, Health Science, Further Mathematics and General Science.","Five (5) SSC credit passes in Mathematics, Chemistry, Biology, Physics and English Language.","Physics, Chemistry and Biology."
PHYSICS WITH ELECTRONICS,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
PHYSIOLOGY,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,[Not Available],[Not Available],[Not Available]
PHYSIOTHERAPY,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,"Two (2) ‘A’ Level passes chosen from Physics, Chemistry and Biology.","Five (5) SSC credit passes in English Language, Maths, Biology, Physics and Chemistry.","Physics, Chemistry and Biology."
PUBLIC HEALTH,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"THOMAS ADEWUMI UNIVERSITY, OKO-IRESE, KWARA STATE",TAU,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
