Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"UNIVERSITY OF OFFA, OFFA, KWARA STATE",UOO,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
BIOLOGY,"UNIVERSITY OF OFFA, OFFA, KWARA STATE",UOO,"(i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

 

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BUSINESS ADMINISTRATION,"UNIVERSITY OF OFFA, OFFA, KWARA STATE",UOO,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
COMPUTER SCIENCE,"UNIVERSITY OF OFFA, OFFA, KWARA STATE",UOO,i)  Two (2) 'A' Level passes in science subjects including Mathematics    (ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CYBER SECURITY,"UNIVERSITY OF OFFA, OFFA, KWARA STATE",UOO,i)  Two (2) 'A' Level passes in science subjects including Mathematics    (ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"UNIVERSITY OF OFFA, OFFA, KWARA STATE",UOO,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
EDUCATION AND ECONOMICS,"UNIVERSITY OF OFFA, OFFA, KWARA STATE",UOO,(i) Two (2) 'A' Level passes in Economics and one (1) other relevant subject.    (ii) NCE merit/credit in Economics and one (1) other subject.,"Five (5) 'O' Level credit passes to include English Language, Economics and Mathematics.","Economics, Mathematics and one (1) other subject from Geography/Physics, History, Government and Literature in English."
EDUCATION AND SOCIAL STUDIES,"UNIVERSITY OF OFFA, OFFA, KWARA STATE",UOO,(i) NCE Social Studies from recognized Colleges.   (ii)           Two (2) 'A' Level passes in relevant subjects.,Five (5) 'O' Level credit passes to include English Language plus two (2) Arts /Social Science subjects.,"Any three (3) of Christian Religious Studies, Economics, Geography/Physics, Government, History and Islamic Studies."
MASS COMMUNICATION,"UNIVERSITY OF OFFA, OFFA, KWARA STATE",UOO,Two (2) 'A' Level passes in Arts or Social Science subjects.,Five (5) SSC credit passes in English Language and four (4) other subjects in Arts or Social Sciences.,Any three (3) from Arts or Social Science subjects.
MICROBIOLOGY,"UNIVERSITY OF OFFA, OFFA, KWARA STATE",UOO,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
PHYSICS WITH ELECTRONICS,"UNIVERSITY OF OFFA, OFFA, KWARA STATE",UOO,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science."
POLITICAL SCIENCE,"UNIVERSITY OF OFFA, OFFA, KWARA STATE",UOO,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Government or History plus two (2) other Social Science/Arts subjects.
SOFTWARE ENGINEERING,"UNIVERSITY OF OFFA, OFFA, KWARA STATE",UOO,i)  Two (2) 'A' Level passes in science subjects including Mathematics    (ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
TECHNOLOGY & VOCATIONAL EDUCATION,"UNIVERSITY OF OFFA, OFFA, KWARA STATE",UOO,"(i)     NCE merit in two (2) relevant Science subjects plus the UTME requirements.    (ii)    Two 'A' Level passes in Physics, Mathematics and Chemistry.",Five (5) 'O' Level credit passes in relevant subjects which must include English Language and Mathematics or NTC/NBC.,"Physics, Mathematics, Chemistry."
