Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"UNIVERSITY ON THE NIGER, UMUNYA, ANAMBRA STATE",UNINIGER,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"UNIVERSITY ON THE NIGER, UMUNYA, ANAMBRA STATE",UNINIGER,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"UNIVERSITY ON THE NIGER, UMUNYA, ANAMBRA STATE",UNINIGER,[Not Available],[Not Available],[Not Available]
DENTAL TECHNOLOGY,"UNIVERSITY ON THE NIGER, UMUNYA, ANAMBRA STATE",UNINIGER,[Not Available],[Not Available],[Not Available]
DENTISTRY,"UNIVERSITY ON THE NIGER, UMUNYA, ANAMBRA STATE",UNINIGER,[Not Available],[Not Available],[Not Available]
DOCTOR OF PHARMACY,"UNIVERSITY ON THE NIGER, UMUNYA, ANAMBRA STATE",UNINIGER,[Not Available],[Not Available],[Not Available]
DOCTOR OF PHYSIOTHERAPY,"UNIVERSITY ON THE NIGER, UMUNYA, ANAMBRA STATE",UNINIGER,[Not Available],[Not Available],[Not Available]
ECONOMICS AND DEVELOPMENTAL STUDIES,"UNIVERSITY ON THE NIGER, UMUNYA, ANAMBRA STATE",UNINIGER,[Not Available],[Not Available],[Not Available]
FORENSIC SCIENCE,"UNIVERSITY ON THE NIGER, UMUNYA, ANAMBRA STATE",UNINIGER,[Not Available],[Not Available],[Not Available]
HEALTH INFORMATION MANAGEMENT,"UNIVERSITY ON THE NIGER, UMUNYA, ANAMBRA STATE",UNINIGER,[Not Available],[Not Available],[Not Available]
LAW,"UNIVERSITY ON THE NIGER, UMUNYA, ANAMBRA STATE",UNINIGER,[Not Available],[Not Available],[Not Available]
MEDICAL LABORATORY SCIENCE,"UNIVERSITY ON THE NIGER, UMUNYA, ANAMBRA STATE",UNINIGER,[Not Available],[Not Available],[Not Available]
MEDICINE AND SURGERY,"UNIVERSITY ON THE NIGER, UMUNYA, ANAMBRA STATE",UNINIGER,[Not Available],[Not Available],[Not Available]
MICROBIOLOGY,"UNIVERSITY ON THE NIGER, UMUNYA, ANAMBRA STATE",UNINIGER,[Not Available],[Not Available],[Not Available]
NURSING SCIENCE,"UNIVERSITY ON THE NIGER, UMUNYA, ANAMBRA STATE",UNINIGER,[Not Available],[Not Available],[Not Available]
PSYCHOLOGY,"UNIVERSITY ON THE NIGER, UMUNYA, ANAMBRA STATE",UNINIGER,[Not Available],[Not Available],[Not Available]
PUBLIC HEALTH,"UNIVERSITY ON THE NIGER, UMUNYA, ANAMBRA STATE",UNINIGER,[Not Available],[Not Available],[Not Available]
RADIOGRAPHY AND RADIATION SCIENCE,"UNIVERSITY ON THE NIGER, UMUNYA, ANAMBRA STATE",UNINIGER,[Not Available],[Not Available],[Not Available]
RELIGIOUS STUDIES,"UNIVERSITY ON THE NIGER, UMUNYA, ANAMBRA STATE",UNINIGER,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"UNIVERSITY ON THE NIGER, UMUNYA, ANAMBRA STATE",UNINIGER,[Not Available],[Not Available],[Not Available]
