Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"VENITE UNIVERSITY, IKORO-EKITI, EKITI STATE",VENITE,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"VENITE UNIVERSITY, IKORO-EKITI, EKITI STATE",VENITE,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"VENITE UNIVERSITY, IKORO-EKITI, EKITI STATE",VENITE,[Not Available],[Not Available],[Not Available]
CRIMINOLOGY AND SECURITY STUDIES,"VENITE UNIVERSITY, IKORO-EKITI, EKITI STATE",VENITE,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"VENITE UNIVERSITY, IKORO-EKITI, EKITI STATE",VENITE,[Not Available],[Not Available],[Not Available]
DATA SCIENCE,"VENITE UNIVERSITY, IKORO-EKITI, EKITI STATE",VENITE,[Not Available],[Not Available],[Not Available]
DOCTOR OF PHYSIOTHERAPY,"VENITE UNIVERSITY, IKORO-EKITI, EKITI STATE",VENITE,[Not Available],[Not Available],[Not Available]
ECONOMICS AND DEVELOPMENTAL STUDIES,"VENITE UNIVERSITY, IKORO-EKITI, EKITI STATE",VENITE,[Not Available],[Not Available],[Not Available]
ENTREPRENEURSHIP STUDIES,"VENITE UNIVERSITY, IKORO-EKITI, EKITI STATE",VENITE,[Not Available],[Not Available],[Not Available]
FORENSIC SCIENCE,"VENITE UNIVERSITY, IKORO-EKITI, EKITI STATE",VENITE,[Not Available],[Not Available],[Not Available]
INFORMATION TECHNOLOGY,"VENITE UNIVERSITY, IKORO-EKITI, EKITI STATE",VENITE,[Not Available],[Not Available],[Not Available]
MEDICAL LABORATORY SCIENCE,"VENITE UNIVERSITY, IKORO-EKITI, EKITI STATE",VENITE,[Not Available],[Not Available],[Not Available]
MICROBIOLOGY,"VENITE UNIVERSITY, IKORO-EKITI, EKITI STATE",VENITE,[Not Available],[Not Available],[Not Available]
NURSING SCIENCE,"VENITE UNIVERSITY, IKORO-EKITI, EKITI STATE",VENITE,[Not Available],[Not Available],[Not Available]
PUBLIC ADMINISTRATION,"VENITE UNIVERSITY, IKORO-EKITI, EKITI STATE",VENITE,[Not Available],[Not Available],[Not Available]
PUBLIC HEALTH,"VENITE UNIVERSITY, IKORO-EKITI, EKITI STATE",VENITE,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"VENITE UNIVERSITY, IKORO-EKITI, EKITI STATE",VENITE,[Not Available],[Not Available],[Not Available]
TAXATION,"VENITE UNIVERSITY, IKORO-EKITI, EKITI STATE",VENITE,[Not Available],[Not Available],[Not Available]
