Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"VERITAS UNIVERSITY, BWARI, ABUJA, FCT",VERITAS,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
ANATOMY,"VERITAS UNIVERSITY, BWARI, ABUJA, FCT",VERITAS,[Not Available],[Not Available],[Not Available]
APPLIED MICROBIOLOGY,"VERITAS UNIVERSITY, BWARI, ABUJA, FCT",VERITAS,"Two (2) 'A' Level passes in Biology and Chemistry.

 

(ii)   NCE merit in Biology and Chemistry.

 

(iii) ND/HND in Biology or Food Technology","Five (5) SSC credit passes to include English Language, Mathematics, chemistry, Physics and Biology or Health Science.","Mathematics, Chemistry and Biology."
BANKING & FINANCE,"VERITAS UNIVERSITY, BWARI, ABUJA, FCT",VERITAS,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
BIOCHEMISTRY,"VERITAS UNIVERSITY, BWARI, ABUJA, FCT",VERITAS,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGICAL SCIENCE(S),"VERITAS UNIVERSITY, BWARI, ABUJA, FCT",VERITAS,"(i)    Two (2) 'A' Level passes to include one (1) of Botany, Zoology, Biology or Chemistry.

 

(ii)    ND/NCE in related programme/subject.","Five (5) SSC credit passes to include English Language, Mathematics, Chemistry, Biology and any other Science subject.","Biology, Chemistry and Physics or Mathematics."
BOTANY,"VERITAS UNIVERSITY, BWARI, ABUJA, FCT",VERITAS,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS ADMINISTRATION,"VERITAS UNIVERSITY, BWARI, ABUJA, FCT",VERITAS,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
BUSINESS EDUCATION,"VERITAS UNIVERSITY, BWARI, ABUJA, FCT",VERITAS,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
CHEMISTRY,"VERITAS UNIVERSITY, BWARI, ABUJA, FCT",VERITAS,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
