Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"VISION UNIVERSITY, ADO-ODO, IKOGBO TOWN, OGUN STATE",VISION-UNI,[Not Available],[Not Available],[Not Available]
BIOTECHNOLOGY,"VISION UNIVERSITY, ADO-ODO, IKOGBO TOWN, OGUN STATE",VISION-UNI,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"VISION UNIVERSITY, ADO-ODO, IKOGBO TOWN, OGUN STATE",VISION-UNI,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"VISION UNIVERSITY, ADO-ODO, IKOGBO TOWN, OGUN STATE",VISION-UNI,[Not Available],[Not Available],[Not Available]
CRIMINOLOGY AND SECURITY STUDIES,"VISION UNIVERSITY, ADO-ODO, IKOGBO TOWN, OGUN STATE",VISION-UNI,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"VISION UNIVERSITY, ADO-ODO, IKOGBO TOWN, OGUN STATE",VISION-UNI,[Not Available],[Not Available],[Not Available]
ECONOMICS,"VISION UNIVERSITY, ADO-ODO, IKOGBO TOWN, OGUN STATE",VISION-UNI,[Not Available],[Not Available],[Not Available]
ENGLISH LANGUAGE,"VISION UNIVERSITY, ADO-ODO, IKOGBO TOWN, OGUN STATE",VISION-UNI,[Not Available],[Not Available],[Not Available]
ENTREPRENEURSHIP,"VISION UNIVERSITY, ADO-ODO, IKOGBO TOWN, OGUN STATE",VISION-UNI,[Not Available],[Not Available],[Not Available]
HISTORY AND INTERNATIONAL STUDIES,"VISION UNIVERSITY, ADO-ODO, IKOGBO TOWN, OGUN STATE",VISION-UNI,[Not Available],[Not Available],[Not Available]
INDUSTRIAL CHEMISTRY,"VISION UNIVERSITY, ADO-ODO, IKOGBO TOWN, OGUN STATE",VISION-UNI,[Not Available],[Not Available],[Not Available]
MASS COMMUNICATION,"VISION UNIVERSITY, ADO-ODO, IKOGBO TOWN, OGUN STATE",VISION-UNI,[Not Available],[Not Available],[Not Available]
MATHEMATICS,"VISION UNIVERSITY, ADO-ODO, IKOGBO TOWN, OGUN STATE",VISION-UNI,[Not Available],[Not Available],[Not Available]
MICROBIOLOGY,"VISION UNIVERSITY, ADO-ODO, IKOGBO TOWN, OGUN STATE",VISION-UNI,[Not Available],[Not Available],[Not Available]
PHYSICS WITH ELECTRONICS,"VISION UNIVERSITY, ADO-ODO, IKOGBO TOWN, OGUN STATE",VISION-UNI,[Not Available],[Not Available],[Not Available]
