Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"WELLSPRING UNIVERSITY, IRHIHI-OGBANEKI, BENIN CITY, EDO STATE",WELLSPRING,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.?","Mathematics, Economics plus any Social Science subject."
BANKING & FINANCE,"WELLSPRING UNIVERSITY, IRHIHI-OGBANEKI, BENIN CITY, EDO STATE",WELLSPRING,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
BIOLOGY,"WELLSPRING UNIVERSITY, IRHIHI-OGBANEKI, BENIN CITY, EDO STATE",WELLSPRING,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BUSINESS ADMINISTRATION,"WELLSPRING UNIVERSITY, IRHIHI-OGBANEKI, BENIN CITY, EDO STATE",WELLSPRING,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
CHEMISTRY,"WELLSPRING UNIVERSITY, IRHIHI-OGBANEKI, BENIN CITY, EDO STATE",WELLSPRING,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"WELLSPRING UNIVERSITY, IRHIHI-OGBANEKI, BENIN CITY, EDO STATE",WELLSPRING,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CRIMINOLOGY AND SECURITY STUDIES,"WELLSPRING UNIVERSITY, IRHIHI-OGBANEKI, BENIN CITY, EDO STATE",WELLSPRING,[Not Available],[Not Available],[Not Available]
ECONOMICS,"WELLSPRING UNIVERSITY, IRHIHI-OGBANEKI, BENIN CITY, EDO STATE",WELLSPRING,"Two (2) ‘A’ Level passes in Economics and any one (1) of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and CRS/IS."
HUMAN RESOURCES MANAGEMENT,"WELLSPRING UNIVERSITY, IRHIHI-OGBANEKI, BENIN CITY, EDO STATE",WELLSPRING,[Not Available],[Not Available],[Not Available]
INDUSTRIAL CHEMISTRY,"WELLSPRING UNIVERSITY, IRHIHI-OGBANEKI, BENIN CITY, EDO STATE",WELLSPRING,"(i)    Two (2) 'A' Level passes in Chemistry and Mathematics

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
INTERNATIONAL RELATIONS,"WELLSPRING UNIVERSITY, IRHIHI-OGBANEKI, BENIN CITY, EDO STATE",WELLSPRING,"Two (2) 'A' Level passes in Social Science subject from Government/History, Economics, Sociology and Business Management.","Five (5) SSC credit passes to include English Language, Government or History and three (3) relevant subjects.","Economics, Literature in English and Geography/Government/History."
MASS COMMUNICATION,"WELLSPRING UNIVERSITY, IRHIHI-OGBANEKI, BENIN CITY, EDO STATE",WELLSPRING,"Two (2) ‘A’ Level passes in Literature in English, Economics or Government.","Five (5) SSC credit passes to include English Language, Literature in English and Government plus a pass in Mathematics.","Literature in English, Economics and Government."
MATHEMATICS,"WELLSPRING UNIVERSITY, IRHIHI-OGBANEKI, BENIN CITY, EDO STATE",WELLSPRING,") Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
MEDICAL LABORATORY SCIENCE,"WELLSPRING UNIVERSITY, IRHIHI-OGBANEKI, BENIN CITY, EDO STATE",WELLSPRING,"'A' Level passes   to include Physics, Chemistry and Biology or Zoology","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology","Physics, Chemistry and Biology"
MICROBIOLOGY,"WELLSPRING UNIVERSITY, IRHIHI-OGBANEKI, BENIN CITY, EDO STATE",WELLSPRING,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
NURSING,"WELLSPRING UNIVERSITY, IRHIHI-OGBANEKI, BENIN CITY, EDO STATE",WELLSPRING,"(i)              Two (2) 'A' Level passes in Biology/ Zoology, Chemistry and Physics plus  three (3) other 'O' Level credit passes in Mathematics, Physics and English Language.

(ii)        NRN or its approved equivalent plus five (5) 'O' Level credit passes  in English Language and four (4) Science subjects chosen from Mathematics, Physics, Chemistry, Biology, Human Anatomy, Physiology and Hygiene, Health Science, Further Mathematics and General Science.","Five (5) SSC credit passes in Mathematics, Chemistry, Biology, Physics and English Language.","Physics, Chemistry and Biology."
NUTRITION AND DIETETICS:,"WELLSPRING UNIVERSITY, IRHIHI-OGBANEKI, BENIN CITY, EDO STATE",WELLSPRING,"Two (2) ‘A’ Level passes in Chemistry, Biology and Agricultural Science, or Physics.","Five (5) SSC credit passes in Chemistry, Biology/Agricultural Science, Mathematics, Physics and English Language.","Chemistry, Biology/Agriculture and Mathematics/ Physics"
PHYSICS,"WELLSPRING UNIVERSITY, IRHIHI-OGBANEKI, BENIN CITY, EDO STATE",WELLSPRING,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
