Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"WESLEY UNIVERSITY, ONDO, ONDO STATE",WESLEYUNI,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
AGRICULTURE,"WESLEY UNIVERSITY, ONDO, ONDO STATE",WESLEYUNI,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
APPLIED BOLOGY & BIOTECHNOLOGY,"WESLEY UNIVERSITY, ONDO, ONDO STATE",WESLEYUNI,Two (2) 'A' Level passes in Biology and either Chemistry or Physics.,"Five (5) SSC credit passes  in English Language, Biology, Mathematics, Chemistry and any one (1) of  Health  Science, Statistics, Physics and Geography.","Chemistry, Biology and either Physics or Mathematics."
BANKING & FINANCE,"WESLEY UNIVERSITY, ONDO, ONDO STATE",WESLEYUNI,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BIOCHEMISTRY,"WESLEY UNIVERSITY, ONDO, ONDO STATE",WESLEYUNI,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BUSINESS ADMINISTRATION,"WESLEY UNIVERSITY, ONDO, ONDO STATE",WESLEYUNI,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
CHEMISTRY,"WESLEY UNIVERSITY, ONDO, ONDO STATE",WESLEYUNI,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMMUNITY HEALTH,"WESLEY UNIVERSITY, ONDO, ONDO STATE",WESLEYUNI,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"WESLEY UNIVERSITY, ONDO, ONDO STATE",WESLEYUNI,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
EARLY CHILDHOOD EDUCATION,"WESLEY UNIVERSITY, ONDO, ONDO STATE",WESLEYUNI,[Not Available],[Not Available],[Not Available]
