Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"WESTLAND UNIVERSITY, IWO, OSUN STATE",WESTLAND,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
BANKING & FINANCE,"WESTLAND UNIVERSITY, IWO, OSUN STATE",WESTLAND,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
BIOLOGY,"WESTLAND UNIVERSITY, IWO, OSUN STATE",WESTLAND,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BUSINESS ADMINISTRATION,"WESTLAND UNIVERSITY, IWO, OSUN STATE",WESTLAND,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
CHEMISTRY,"WESTLAND UNIVERSITY, IWO, OSUN STATE",WESTLAND,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"WESTLAND UNIVERSITY, IWO, OSUN STATE",WESTLAND,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"WESTLAND UNIVERSITY, IWO, OSUN STATE",WESTLAND,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
ENTREPRENEURIAL STUDIES,"WESTLAND UNIVERSITY, IWO, OSUN STATE",WESTLAND,"Two (2) 'A' Level passes to include Economics and at least one of, Accounts, Business Management, Government, Geography or Mathematics.","Five (5) SSC credit passes to include English Language, Mathematics, Economics, one Science subject and one other Social Science or Commercial subject.","Economics, Mathematics and one other Social Science or Commercial subject."
GEOLOGY,"WESTLAND UNIVERSITY, IWO, OSUN STATE",WESTLAND,"(i) Two (2) 'A' Level passes from Geology, Chemistry, Mathematics, Physics, Biology and Geography.","Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and any other subject.","Any three (3) of Chemistry, Physics, Mathematics, Biology and Geography."
INTERNATIONAL RELATIONS,"WESTLAND UNIVERSITY, IWO, OSUN STATE",WESTLAND,"Two (2) 'A' Level passes in Social Science subject from Government/History, Economics, Sociology and Business Management.","Five (5) SSC credit passes to include English Language, Government or History and three (3) relevant subjects.","Economics, Literature in English and Geography/Government/History."
MASS COMMUNICATION,"WESTLAND UNIVERSITY, IWO, OSUN STATE",WESTLAND,Two (2) 'A' Level passes in Arts or Social Science subjects.,Five (5) SSC credit passes in English Language and four (4) other subjects in Arts or Social Sciences.,Any three (3) from Arts or Social Science subjects.
MATHEMATICS,"WESTLAND UNIVERSITY, IWO, OSUN STATE",WESTLAND,") Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
PHYSICS WITH ELECTRONICS,"WESTLAND UNIVERSITY, IWO, OSUN STATE",WESTLAND,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
POLITICAL SCIENCE,"WESTLAND UNIVERSITY, IWO, OSUN STATE",WESTLAND,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Government or History plus two (2) other Social Science/Arts subjects.
SOFTWARE ENGINEERING,"WESTLAND UNIVERSITY, IWO, OSUN STATE",WESTLAND,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
