Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING AND DATA ANALYTICS,"WIGWE UNIVERSITY, ISIOKPO, RIVERS STATE",WIGWE,[Not Available],[Not Available],[Not Available]
ANIMATION AND VISUAL ARTS,"WIGWE UNIVERSITY, ISIOKPO, RIVERS STATE",WIGWE,[Not Available],[Not Available],[Not Available]
BUSINESS MANAGEMENT,"WIGWE UNIVERSITY, ISIOKPO, RIVERS STATE",WIGWE,[Not Available],[Not Available],[Not Available]
COMMUNICATION AND DIGITAL MEDIA STUDIES,"WIGWE UNIVERSITY, ISIOKPO, RIVERS STATE",WIGWE,[Not Available],[Not Available],[Not Available]
COMPUTER ENGINEERING,"WIGWE UNIVERSITY, ISIOKPO, RIVERS STATE",WIGWE,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"WIGWE UNIVERSITY, ISIOKPO, RIVERS STATE",WIGWE,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"WIGWE UNIVERSITY, ISIOKPO, RIVERS STATE",WIGWE,[Not Available],[Not Available],[Not Available]
DATA SCIENCE,"WIGWE UNIVERSITY, ISIOKPO, RIVERS STATE",WIGWE,[Not Available],[Not Available],[Not Available]
ECONOMICS,"WIGWE UNIVERSITY, ISIOKPO, RIVERS STATE",WIGWE,[Not Available],[Not Available],[Not Available]
ELECTRICAL ENGINEERING,"WIGWE UNIVERSITY, ISIOKPO, RIVERS STATE",WIGWE,[Not Available],[Not Available],[Not Available]
FILM AND MEDIA STUDIES,"WIGWE UNIVERSITY, ISIOKPO, RIVERS STATE",WIGWE,[Not Available],[Not Available],[Not Available]
FINANCE,"WIGWE UNIVERSITY, ISIOKPO, RIVERS STATE",WIGWE,[Not Available],[Not Available],[Not Available]
FINANCE AND FINANCIAL TECHNOLOGY,"WIGWE UNIVERSITY, ISIOKPO, RIVERS STATE",WIGWE,[Not Available],[Not Available],[Not Available]
FINE ARTS,"WIGWE UNIVERSITY, ISIOKPO, RIVERS STATE",WIGWE,[Not Available],[Not Available],[Not Available]
FORENSIC SCIENCE,"WIGWE UNIVERSITY, ISIOKPO, RIVERS STATE",WIGWE,[Not Available],[Not Available],[Not Available]
INFORMATION AND COMMUNICATION TECHNOLOGY,"WIGWE UNIVERSITY, ISIOKPO, RIVERS STATE",WIGWE,[Not Available],[Not Available],[Not Available]
MATHEMATICS,"WIGWE UNIVERSITY, ISIOKPO, RIVERS STATE",WIGWE,[Not Available],[Not Available],[Not Available]
MECHANICAL ENGINEERING,"WIGWE UNIVERSITY, ISIOKPO, RIVERS STATE",WIGWE,[Not Available],[Not Available],[Not Available]
SOCIAL INNOVATION AND ENTREPRENEURSHIP,"WIGWE UNIVERSITY, ISIOKPO, RIVERS STATE",WIGWE,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"WIGWE UNIVERSITY, ISIOKPO, RIVERS STATE",WIGWE,[Not Available],[Not Available],[Not Available]
THATRE ARTS,"WIGWE UNIVERSITY, ISIOKPO, RIVERS STATE",WIGWE,[Not Available],[Not Available],[Not Available]
