Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"ADAMAWA STATE UNIVERSITY, MUBI, ADAMAWA STATE",ADSU,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
AGRIC-ECONOMICS & EXTENSION,"ADAMAWA STATE UNIVERSITY, MUBI, ADAMAWA STATE",ADSU,"Two (2) ‘A’ Level passes in Chemistry and one of Zoology/Botany/Agricultural Science/Biology, Geography, Mathematics, Physics, Geology, Economics and Health Science.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and one of Geography, Physics and Economics.","Chemistry, Biology/ Agricultural Science plus Mathematics or Physics."
AGRICULTURAL SCIENCE & EDUCATION,"ADAMAWA STATE UNIVERSITY, MUBI, ADAMAWA STATE",ADSU,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
AGRICULTURE,"ADAMAWA STATE UNIVERSITY, MUBI, ADAMAWA STATE",ADSU,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
AGRONOMY,"ADAMAWA STATE UNIVERSITY, MUBI, ADAMAWA STATE",ADSU,Two (2) ‘A’ Level passes in Chemistry/Biology/Botany/Zoology/Agricultural Science plus one of Mathematics/Physics and Geology/ Economics,"Five (5) SSC credit passes in Chemistry, English Language, Mathematics, Biology and Geography or Economics.","Chemistry, Biology or Agriculture and Physics or Mathematics."
ANIMAL PRODUCTION,"ADAMAWA STATE UNIVERSITY, MUBI, ADAMAWA STATE",ADSU,Two ‘A’ Level passes or equivalent in Chemistry and one of Biology/Botany /Zoology/Agricultural Science/ Geography/Geology/ Mathematics/Economics,"Five SSC credit passes in Chemistry, Mathematics, Biology/Agricultural Science, Physics and English Language","Chemistry, Biology/Agricultural Science and Physics/Mathematics."
BANKING & FINANCE,"ADAMAWA STATE UNIVERSITY, MUBI, ADAMAWA STATE",ADSU,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BIOCHEMISTRY,"ADAMAWA STATE UNIVERSITY, MUBI, ADAMAWA STATE",ADSU,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"ADAMAWA STATE UNIVERSITY, MUBI, ADAMAWA STATE",ADSU,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BOTANY,"ADAMAWA STATE UNIVERSITY, MUBI, ADAMAWA STATE",ADSU,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
