Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
BIOCHEMISTRY,"BAYELSA MEDICAL UNIVERSITY, YENAGOA, BAYELSA STATE",BMU,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"BAYELSA MEDICAL UNIVERSITY, YENAGOA, BAYELSA STATE",BMU,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
CHEMISTRY,"BAYELSA MEDICAL UNIVERSITY, YENAGOA, BAYELSA STATE",BMU,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"BAYELSA MEDICAL UNIVERSITY, YENAGOA, BAYELSA STATE",BMU,[Not Available],[Not Available],[Not Available]
DENTAL TECHNOLOGY,"BAYELSA MEDICAL UNIVERSITY, YENAGOA, BAYELSA STATE",BMU,[Not Available],[Not Available],[Not Available]
DOCTOR OF PHARMACY,"BAYELSA MEDICAL UNIVERSITY, YENAGOA, BAYELSA STATE",BMU,[Not Available],[Not Available],[Not Available]
HEALTH CARE ADMINISTRATION AND HOSPITAL MANAGEMENT,"BAYELSA MEDICAL UNIVERSITY, YENAGOA, BAYELSA STATE",BMU,[Not Available],[Not Available],[Not Available]
HEALTH INFORMATION MANAGEMENT,"BAYELSA MEDICAL UNIVERSITY, YENAGOA, BAYELSA STATE",BMU,[Not Available],[Not Available],[Not Available]
HUMAN ANATOMY,"BAYELSA MEDICAL UNIVERSITY, YENAGOA, BAYELSA STATE",BMU,"Two (2) 'A' Level passes chosen from Biology, Chemistry and Physics in addition to the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and Physics."
HUMAN PHYSIOLOGY,"BAYELSA MEDICAL UNIVERSITY, YENAGOA, BAYELSA STATE",BMU,"Two (2) 'A' Level passes chosen from Chemistry, Physics and Biology/Zoology.","Five (5) SSC credit passes in English Language, Maths, Physics, Chemistry and Biology.","Physics, Chemistry and Biology"
MATHEMATICS,"BAYELSA MEDICAL UNIVERSITY, YENAGOA, BAYELSA STATE",BMU,") Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
MICROBIOLOGY,"BAYELSA MEDICAL UNIVERSITY, YENAGOA, BAYELSA STATE",BMU,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
PHYSICS WITH ELECTRONICS,"BAYELSA MEDICAL UNIVERSITY, YENAGOA, BAYELSA STATE",BMU,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
RADIOGRAPHY AND RADIATION SCIENCE,"BAYELSA MEDICAL UNIVERSITY, YENAGOA, BAYELSA STATE",BMU,[Not Available],[Not Available],[Not Available]
STATISTICS,"BAYELSA MEDICAL UNIVERSITY, YENAGOA, BAYELSA STATE",BMU,"Two (2) 'A' Level passes to include Mathematics or Statistics.

NCE credit in relevant subjects.","Five (5) SSC credit passes to include English Language, Mathematics and at least three (3) subjects from Physics, Statistics, Chemistry, Further Mathematics, Economics and Geography.","Mathematics and any two (2) of Physics, Chemistry and Economics."
