Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,Minimum of Lower Credit in ND/HND Accounting From a recognized Institution. Plus ‘O’ level requirements.,"Five (5) SSCE credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
AGRICULTURE,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,"Minimum of Lower Credit/Merit in ND/HND Agricultural Technology, Animal Health & Production Technology, Agronomy & Soil Science, Agricultural Economics and Fisheries or Forestry. Plus ‘O’ level requirements.","Five (5) SSCE credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Biology/Agriculture and any two (2) of Chemistry, Physics or Mathematics."
ANIMAL & ENVIRONMENTAL BIOLOGY,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,"Minimum of Lower Credit/Merit in ND/HND Animal Health & Production Technology, Animal Science, Biology, Agricultural Science or Zoology. Plus ‘O’ level requirements.","Five (5) SSCE credit passes in English Language, Mathematics, Biology, Chemistry and any one (1) of Agriculture, Physics or Geography.","Biology/Agriculture and

Any two (2) of Chemistry, Physics or Geography"
BIOCHEMISTRY,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,[Not Available],[Not Available],[Not Available]
BIOTECHNOLOGY,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,"Minimum of Lower Credit/Merit in ND/HND Science Lab Tech; Environmental Biology, Plant Science or Biology, and other relevant subjects Plus ‘‘O’ level requirements.","Five (5) SSCE Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any one (1) of Physics or Geography"
BUSINESS ADMINISTRATION,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
CHEMISTRY,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,"Minimum of Lower Credit/Merit in ND/HND Chemistry.

Plus ‘O’ level requirements.","Five (5) SSCE credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,"Minimum of Lower Credit/Merit in ND/HND Computer Science, Information Technology, Mathematics & Statistics and Physics, and other relevant fields from a recognized institution, Plus ‘O’ level requirements","Five (5) SSCE credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and Chemistry."
CRIMINOLOGY & SECURITY STUDIES,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
DOCTOR OF PHYSIOTHERAPY,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,[Not Available],[Not Available],[Not Available]
ECONOMICS,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,"Minimum of Lower Credit/Merit in ND/HND Economics, Business Administration, Banking and Finance, Accounting, Marketing or Purchasing and Supply, from a recognized institution.

Plus ‘O’ level requirements.

.","Five (5)SSCE credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
EDUCATION & BIOLOGY,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,Minimum of Merit in NCE Biology and other relevant subjects (Biology as major). From a recognized institution. Plus ‘O’ level requirements.,"Five (5) SSCE credit passes in English Language, Mathematics, Biology, Chemistry, and one (1) other science subject","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,"Minimum of Merit in NCE Chemistry and other relevant subjects (Chemistry as major) Plus ‘O’ level requirements, from a recognized institution.","Five (5) SSCE credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & COMPUTER SCIENCE,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,"Minimum of Merit in NCE Computer Science, Mathematics or Physics, (Computer Science as major) Plus ‘O’ level requirements,  from a recognized institution","Five (5) SSCE credit passes or its equivalents including Mathematics, English Language and three (3) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry and Geography."
EDUCATION & ECONOMICS,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,"Minimum of Merit in NCE Economics, and any other relevant subjects (Economics as major) from a recognized institution.

Plus ‘O’ level requirements.","Five (5) 'O' Level credit passes to include English Language, Mathematics, Economics and any other two (2) Social Science Subjects.","Economics, Mathematics and any two (2) other subjects from Commerce, Geography, History, and Government"
EDUCATION & ENGLISH LANGUAGE,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,"Minimum of Merit in NCE English Language and other relevant subjects (English Language as major), From a recognized institution. Plus ‘O’ level requirements.","Five (5) SSCE credit passes to include English Language, Mathematics and three (3) other Arts or Social Science subjects.",Any three (3) Arts or Social Science subjects
EDUCATION & ISLAMIC STUDIES,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,"Minimum of Merit in NCE Islamic Studies

And other relevant subject (Islamic Studies as major) From a recognized institution. Plus ‘O’ level requirements.","Five (5) SSCE credit passes including English Language, Mathematics, Islamic Studies and two (2) other relevant subjects",Islamic Studies/Arabic and two (2) other Social Science or Arts subjects  .
EDUCATION & MATHEMATICS,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,"Minimum of Merit in NCE Mathematics and other relevant subjects (mathematics as major), From a recognized institution. Plus ‘O’ level requirements.","Five (5) SSCE credit passes to include English Language, Mathematics plus three (3) other Science subjects.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
EDUCATION & PHYSICS,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,"Minimum of Merit in NCE

Physics and other relevant subjects (Physics as major), From a recognized institution. Plus ‘O’ level requirements.","Five (5) 'O' Level credits passes to include English Language, Physics, Mathematics and two (2) other Science subjects.","Physics, Mathematics or Chemistry plus one (1) other science subject"
EDUCATIONAL MANAGEMENT,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,"Minimum of Merit in NCE Education subjects From a recognized institution.

Plus ‘O’ level requirements.","Minimum of 5 credits including English Language, Mathematics, Economics and at least two (2) credits in relevant teaching subjects.","Economics, Mathematics and one (1) other Social Science/Arts subject."
ENGLISH LANGUAGE,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
GEOGRAPHY,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,Minimum of Lower Credit/Merit in ND/HND Geography and other relevant subjects From a recognized institution. Plus ‘O’ level requirements,"Five (5) SSCE credit passes in English Language, Mathematics, Geography, and any two (2) from Arts or Social Science subjects.",Geography and two (2) other Arts or Social Science subjects
GUIDANCE & COUNSELLING,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,Minimum of Merit in NCE in Arts or social science subjects) From a recognized institution. Plus ‘O’ level requirements.,"Five (5) SSCE credit passes in English Language, Mathematics and any three (3) from Arts or Social Science subjects.",Any three (3) Arts or Social Science subjects.
HEALTH INFORMATION MANAGEMENT SYSTEM,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,[Not Available],[Not Available],[Not Available]
ISLAMIC STUDIES,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,Minimum of Lower Credit/Merit in ND A’ Level passes in Islamic Studies and other relevant subjects From a recognized institution. Plus ‘O’ level requirements.,"Five (5) SSCE credit passes to include English Language, Mathematics and Islamic Studies or Arabic and any two (2) relevant subjects.",Islamic Studies plus two (2) other Arts subjects.
LITERATURE IN ENGLISH,"BORNO STATE UNIVERSITY, MAIDUGURI, BORNO STATE",BOSU,Minimum of Lower Credit/Merit in ND A’ Level passes in Literature in English and other relevant subjects From a recognized institution. Plus ‘O’ level requirements.,"Five (5) SSCE credit passes to include Literature in English, English Language, Mathematics and any two (2) from Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
