Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"DENNIS OSADEBAY UNIVERSITY, ASABA, DELTA STATE",DOU,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.","Mathematics, Economics plus any Social Science subject."
ACTURIAL SCIENCE,"DENNIS OSADEBAY UNIVERSITY, ASABA, DELTA STATE",DOU,[Not Available],[Not Available],[Not Available]
AGRIBUSINESS,"DENNIS OSADEBAY UNIVERSITY, ASABA, DELTA STATE",DOU,[Not Available],[Not Available],[Not Available]
AGRICULTURAL ECONOMICS,"DENNIS OSADEBAY UNIVERSITY, ASABA, DELTA STATE",DOU,"Two (2) ‘A’ Level passes in Chemistry and one of Zoology/Botany/Agricultural Science/Biology, Geography, Mathematics, Physics, Geology, Economics and Health Science.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and one of Geography, Physics and Economics.","Chemistry, Biology/ Agricultural Science and Mathematics or Physics."
AGRICULTURAL EXTENSION AND RURAL DEVELOPMENT,"DENNIS OSADEBAY UNIVERSITY, ASABA, DELTA STATE",DOU,"Two (2) ‘A’ Level passes in Chemistry and one of Zoology/Botany/Agricultural Science/Biology, Geography, Mathematics, Physics, Geology, Economics and Health Science.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and one of Geography, Physics and Economics.","Chemistry, Biology/ Agricultural Science and Mathematics or Physics."
ANIMAL & ENVIRONMENTAL BIOLOGY,"DENNIS OSADEBAY UNIVERSITY, ASABA, DELTA STATE",DOU,[Not Available],[Not Available],[Not Available]
ANIMAL PRODUCTION,"DENNIS OSADEBAY UNIVERSITY, ASABA, DELTA STATE",DOU,Two ‘A’ Level passes or equivalent in Chemistry and one of Biology/Botany /Zoology/Agricultural Science/ Geography/Geology/ Mathematics/Economics.,"Five SSC credit passes in Chemistry, Mathematics, Biology/Agricultural Science, Physics and English Language.","Chemistry, Biology/Agricultural Science and Physics/Mathematics."
APPLIED GEOPHYSICS,"DENNIS OSADEBAY UNIVERSITY, ASABA, DELTA STATE",DOU,[Not Available],[Not Available],[Not Available]
ARCHITECTURE,"DENNIS OSADEBAY UNIVERSITY, ASABA, DELTA STATE",DOU,"(i)       Two (2) 'A' Level passes chosen from Mathematics or Physics and Chemistry, Geography or Fine Arts.

 

(ii)  ND/HND upper credits in relevant field.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any of Fine Art, Geography or Wood Work, Biology, Economics, Technical Drawing, Further. Mathematics., Introduction to Building Construction, Bricklaying/Block laying, Concreting, Wall, Floors and Ceiling Finishing, Joinery, Carpentary, Decorative Painting, Lining, Sign and Design, Wall Hanging, Colour Mixing/Matching and Glazing, Ceramics, Graphics Design, Graphic Printing, Basic Electricity.","Physics, Mathematics, and any of Chemistry, Geography, Art, Biology and Economics."
BANKING & FINANCE,"DENNIS OSADEBAY UNIVERSITY, ASABA, DELTA STATE",DOU,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
