Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"EDO UNIVERSITY, IYAMHO, EDO STATE",EUI,"(i) Two ‘A’ level passes including Economics in addition to UTME requirements.
(ii) NCE with passes at Merit level in relevant subjects.
(iii) ND/HND at Credit level in a related discipline
(iv) A good pass in JUPEB/IJMB with 5 points and above without an “F” grade will be admitted to 200 level.

(v) Candidates with less than 5 points but not lower than 2 points with not more than one  “F” grade will be admitted to 100 level.

(vi) A University degree in a related discipline.







TRANSFER FROM OTHER UNIVERSITIES




(i) Minimum entry requirements into the desired programme in EDSU

 (ii) SSCE result (or its equivalent)

(iii) JAMB admission letter of current University/school

(iv)Jamb result used in getting admission into current University/School

(v)transcript/certificate from current University/school, which should be forwarded to EDSU","Five Credit passes at SSCE (or its equivalent) including English Language, Mathematics, Economics/ Principle of Accounts/Commerce/ Principle of Finance and two other social subjects at not more than two sittings","Mathematics, Economics and any other Social Science subject"
ANATOMY,"EDO UNIVERSITY, IYAMHO, EDO STATE",EUI,"(i) Two ‘A’ level passes chosen from Physics, Chemistry and Biology or Zoology in addition to UTME requirements.
(ii) A University degree in a relevant field.
(iii) OND/HND in related courses with Credit pass plus O' level entry requirement.
(iv) IJMB/JUPEB

TRANSFER FROM OTHER UNIVERSITIES

(i) Minimum entry requirements into the desired programme in EDSU

(ii) JAMB admission letter of current University/school

(iii)Jamb result used in getting admission into current University/School

(iv)transcript/certificate from current University/school, which should be forwarded to EDSU","Five Credit passes at SSCE (or its equivalent) in English Language, Mathematics, Biology, Chemistry, Physics at not more than two sittings","Biology, Chemistry and Physics"
ANIMAL & ENVIRONMENTAL BIOLOGY,"EDO UNIVERSITY, IYAMHO, EDO STATE",EUI,"(i) Two (2) 'A' level passes or NCE in Biology, Zoology or Botany and one other Science subject in addition to UTME requirements.
(ii) OND/HND with Credit passes from a recognized institution in addition to O’ level requirements.
(iii) A good pass in JUPEB subjects: Biology, Chemistry and Physics
(iv) IJMB passes in Biology, Chemistry, Physics

TRANSFER FROM OTHER UNIVERSITIES

  (i) Minimum entry requirements into the desired programme in EDSU

 (ii) SSCE result (or its equivalent)

(iii) JAMB admission letter of current University/school

(iv)Jamb result used in getting admission into current University/School

(v) Transcript/certificate from current University/school, which should be forwarded to EDSU","Five (5) SSCE credit passes in English Language, Mathematics, Biology, Chemistry and one (1) other science subject at not more than two sittings","Biology and any two (2) of Physics, Chemistry Mathematics and Agricultural science."
ARABIC STUDIES,"EDO UNIVERSITY, IYAMHO, EDO STATE",EUI,Two (2) ‘A’ Level passes in Arabic and any other Arts subject.,"Five (5) SSC credit passes in English Language, Arabic and three (3) other relevant subjects.",Arabic and two (2) subjects from Arts and/or Social Sciences.
BANKING AND FINANCE,"EDO UNIVERSITY, IYAMHO, EDO STATE",EUI,"(i) Two ‘A’ level passes including Economics in addition to UTME requirements.
(ii) NCE with passes at Merit level in relevant subjects.
(iii) ND/HND at Credit level in a related discipline
(iv) A good pass in JUPEB/IJMB Subjects with 5 points and above without an “F” grade will be admitted to 200 level.


(v) Candidate with less than 5 points but not lower than 2 points and with not more than one  “F” grade will be admitted to 100 level.

(vi) A University degree in a related discipline.




TRANSFER FROM  OTHER UNIVERSITIES

(i) Minimum entry requirements into the desired programme in EDSU

 (ii) SSCE result (or its equivalent)

(iii) JAMB admission letter of current University/school

(iv)Jamb result used in getting admission into current University/School

(v)transcript/certificate from current University/school, which should be forwarded to EDSU","Five Credit passes at SSCE (or its equivalent) including English Language, Mathematics, Economics/Principle of Accounts/Commerce/Principle of Finance and two other social subjects at not more than two sittings","Mathematics, Economics and any other Social Science subject"
BIOCHEMISTRY,"EDO UNIVERSITY, IYAMHO, EDO STATE",EUI,"(i) Two ‘A’ level passes chosen from Chemistry, Physics/Mathematics and Biology/Botany/Zoology in addition to UTME requirements.
(ii)NCE/ND/HND with Credit passes in related field plus UTME requirement.
(iii) IJMB/JUPEB

TRANSFER FROM OTHER UNIVERSITIES

(i) Minimum entry requirements into the desired programme in EDSU

(ii) JAMB admission letter of current University/school

(iii)Jamb result used in getting admission into current University/School

(iv)transcript/certificate from current University/school, which should be forwarded to EDSU","Five Credit passes at SSCE (or its equivalent) in English Language, Mathematics, Biology, Chemistry, Physics at not more than two sittings","Biology, Chemistry and Physics/Mathematics."
BIOLOGY,"EDO UNIVERSITY, IYAMHO, EDO STATE",EUI,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BROADCASTING,"EDO UNIVERSITY, IYAMHO, EDO STATE",EUI,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"EDO UNIVERSITY, IYAMHO, EDO STATE",EUI,"(i) Two ‘A’ level passes including Economics in addition to UTME requirements.
(ii) NCE with passes at Merit level in relevant subjects.
(iii) ND/HND at Credit level in a related discipline
(iv) A good pass in JUPEB/IJMB with 5 points and above without an “F” grade will be admitted to 200 level.


(v) Candidate with less than 5 points but not lower than 2 points with not more than one “F” grade will be admitted to 100 level.

(vi) A University degree in a related discipline.







TRANSFER FROM OTHER UNIVERSITIES

(i) Minimum entry requirements into the desired programme in EDSU

 (ii) SSCE result (or its equivalent)

(iii) JAMB admission letter of current University/school

(iv)Jamb result used in getting admission into current University/School

(v)transcript/certificate from current University/school, which should be forwarded to EDSU","Five Credit passes at SSCE (or its equivalent) including English Language, Mathematics, Economics/Principle of Accounts/ Commerce/ Principle of Finance and two other social science subjects at not more than two sittings","Mathematics, Economics and any other Social Science subject"
CHEMICAL ENGINEERING,"EDO UNIVERSITY, IYAMHO, EDO STATE",EUI,"(i) Two `A’ level passes in Physics, Chemistry and Mathematics in addition to UTME requirements.
(ii) OND/HND not below Credit level.
(iii) JUPEB/IJMB passes in Physics, Chemistry and Mathematics
(iv) BSc. in a relevant field.

TRANSFER FROM OTHER UNIVERSITIES

(i) Minimum entry requirements into the desired programme in EDSU

 (ii) SSCE result (or its equivalent)

(iii) JAMB admission letter of current University/school

(iv)Jamb result used in getting admission into current University/School

(v)transcript/certificate from current University/school, which should be forwarded to EDSU","Five Credit passes at SSCE (or its equivalent) to include Physics, Chemistry, Mathematics and English Language and any other Science subject at not more than two sittings.","Mathematics, Physics and Chemistry."
