Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"EMMANUEL ALAYANDE UNIVERSITY OF EDUCATION, OYO, OYO STATE",EAUED,[Not Available],[Not Available],[Not Available]
ADULT AND CONTINUING EDUCATION,"EMMANUEL ALAYANDE UNIVERSITY OF EDUCATION, OYO, OYO STATE",EAUED,[Not Available],[Not Available],[Not Available]
AUTOMOBILE TECHNOLOGY EDUCATION,"EMMANUEL ALAYANDE UNIVERSITY OF EDUCATION, OYO, OYO STATE",EAUED,[Not Available],[Not Available],[Not Available]
BIOLOGY,"EMMANUEL ALAYANDE UNIVERSITY OF EDUCATION, OYO, OYO STATE",EAUED,[Not Available],[Not Available],[Not Available]
BUILDING TECHNOLOGY EDUCATION,"EMMANUEL ALAYANDE UNIVERSITY OF EDUCATION, OYO, OYO STATE",EAUED,[Not Available],[Not Available],[Not Available]
BUSINESS EDUCATION,"EMMANUEL ALAYANDE UNIVERSITY OF EDUCATION, OYO, OYO STATE",EAUED,[Not Available],[Not Available],[Not Available]
CHEMISTRY,"EMMANUEL ALAYANDE UNIVERSITY OF EDUCATION, OYO, OYO STATE",EAUED,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"EMMANUEL ALAYANDE UNIVERSITY OF EDUCATION, OYO, OYO STATE",EAUED,[Not Available],[Not Available],[Not Available]
EARLY CHILDHOOD EDUCATION,"EMMANUEL ALAYANDE UNIVERSITY OF EDUCATION, OYO, OYO STATE",EAUED,[Not Available],[Not Available],[Not Available]
ECONOMICS,"EMMANUEL ALAYANDE UNIVERSITY OF EDUCATION, OYO, OYO STATE",EAUED,[Not Available],[Not Available],[Not Available]
EDUCATION & FINE AND APPLIED ARTS,"EMMANUEL ALAYANDE UNIVERSITY OF EDUCATION, OYO, OYO STATE",EAUED,[Not Available],[Not Available],[Not Available]
EDUCATION & INTEGRATED SCIENCE,"EMMANUEL ALAYANDE UNIVERSITY OF EDUCATION, OYO, OYO STATE",EAUED,[Not Available],[Not Available],[Not Available]
