Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
ANATOMY,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,"Two (2) 'A' Level passes chosen from Biology, Chemistry and Physics in addition to the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and Physics."
BANKING AND FINANCE,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGICAL SCIENCE(S),"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,"(i)    Two (2) 'A' Level passes to include one (1) of Botany, Zoology, Biology or Chemistry.

 

(ii)    ND/NCE in related programme/subject.","Five (5) SSC credit passes to include English Language, Mathematics, Chemistry, Biology and any other Science subject.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,[Not Available],[Not Available],[Not Available]
BOTANY,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS ADMINISTRATION,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
CHEMISTRY,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
CHRISTIAN RELIGIOUS STUDIES,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,Two (2) ‘A’ Level passes/NCE to include CRS/Religious Studies.,"Five (5) SSC credit passes in English Language, CRS and three (3) other relevant subjects.",Two (2) Arts subjects including CRS and any other subject.
COMPUTER SCIENCE,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
EDUCATION & BIOLOGY,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,Two (2) ‘A’ Level/NCE passes including Chemistry and one (1) other Science subject.,"Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & CHRISTIAN RELIGIOUS STUDIES,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,Two (2) 'A' Level passes/NCE merit in Religious Studies and one (1) other Arts subject.,"Five (5) 'O' Level credit passes or TC II merit in five (5) subjects including English Language, Religious Studies and three (3) other Arts subjects.",Two (2) Arts subject including Religious studies and one (1) other subject.
EDUCATION & COMPUTER SCIENCE,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,Two (2) ‘A’ Level passes including Physics or Chemistry.,"Five (5) SSC credit passes or its equivalents including Mathematics, English Language and three (3) other Science subjects.","Mathematics, Physics and one of Biology, Chemistry and Geography."
EDUCATION & ECONOMICS,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,"(i) Two (2) 'A' Level passes in Economics and one (1) other relevant subject.

(ii) NCE merit/credit in Economics and one (1) other subject.","Five (5) 'O' Level credit passes to include English Language, Economics and Mathematics.","Economics, Mathematics and one (1) other subject from Geography/Physics, History, Government and Literature in English."
EDUCATION & ENGLISH LANGUAGE,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & GEOGRAPHY,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,"Two (2) 'A' Level passes/NCE merit which should include Geography

/Physics.","Five (5) SSC credit passes to include Geography, English Language and Mathematics.",Geography plus two (2) other Social Sciences/Arts subjects.
EDUCATION & HISTORY,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,Two (2) NCE merit/'A' Level passes in History and one (1) other relevant Arts subject.,"Five (5) SSC credit passes in English Language, History and three (3) relevant Arts subjects.","History and any other two (2) subjects chosen from Christian Religious Studies / Islamic Studies, Literature in English, French, Yoruba, Geography/Physics, Economics, Government and Hausa."
EDUCATION & ISLAMIC STUDIES,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,"(i) NCE merit in Islamic Studies and Education.

 

(ii) 'A' Level passes in Arabic/ Islamic Studies and any other relevant subject.","Five (5) SSC credit passes including English Language, Islamic Studies and three (3) other relevant subjects.",Islamic Studies/Arabic and two (2) other Social Science or Arts subjects.
EDUCATION & MATHEMATICS,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics plus one (1) other Science subject.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
EDUCATION & PHYSICS,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,"(i)  Two (2) 'A' Level passes in Physics and Mathematics.

(ii) NCE credit/merit in relevant subjects.","Five (5) 'O' Level credits passes to include English Language, Physics, Mathematics and two (2) other Science subjects or NTC/NBC.","Physics, Mathematics or Chemistry plus one (1) other subjects."
EDUCATION & POLITICAL SCIENCE,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,"(i) Two (2) 'A' Level passes in relevant subjects chosen from Government or History, Economics and Geography/Physics.

(ii) NCE merit in Government/History, Economics and Geography/Physics.","Five (5) 'O' Level credit passes or equivalent to include English Language, Government/History and three (3) other subjects.",Government or History plus two (2) other Arts or Social Sciences subjects.
EDUCATIONAL ADMINISTRATION AND PLANNING,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,[Not Available],[Not Available],[Not Available]
ENGLISH LANGUAGE,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
ENVIRONMENTAL CHEMISTRY AND TOXICOLOGY,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,[Not Available],[Not Available],[Not Available]
GEOGRAPHY,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,Two (2) 'A' Level passes in Geography and one (1) other science subject.,"Five (5) SSC credit passes to include English Language, Mathematics, Geography and any other two (2) Science subjects.","Geography and any two (2) of Mathematics, Biology, Chemistry, Physics and Agricultural Science."
GEOLOGY,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,"(i) Two (2) 'A' Level passes from Geology, Chemistry, Mathematics, Physics, Biology and Geography.","Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and any other subject.","Any three (3) of Chemistry, Physics, Mathematics, Biology and Geography."
HISTORY,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,Two (2) ‘A’ Level passes in History and any other related subjects.,Five (5) SSC credit passes to include History and English Language.,History and any other two (2) subjects from Arts and Social Sciences.
HUMAN NUTRITION AND DIETETICS,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,[Not Available],[Not Available],[Not Available]
INDUSTRIAL CHEMISTRY,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,[Not Available],[Not Available],[Not Available]
INTERNATIONAL RELATIONS,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,[Not Available],[Not Available],[Not Available]
ISLAMIC STUDIES,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,Two (2) ‘A’ level passes to include Islamic Studies.,Five (5) SSC credit passes to include English Language and Islamic Studies or Arabic and any three (3) relevant subjects.,Islamic Studies plus two (2) other Arts subjects.
LAW,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,"Two (2)'A' Level passes in Arts or Social Science subjects.

(ii)   NCE/ND/First Degree (Second Class Lower).","Five (5)'O' Level credit passes to include English Language, Literature in English and Mathematics.",Any three (3) Arts or Social Science subjects.
LIBRARY AND INFORMATION SCIENCE,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,[Not Available],[Not Available],[Not Available]
MATHEMATICS,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,") Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
MEDICINE & SURGERY,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,"(i) 'A' Level passes in Physics, Chemistry and Biology or Zoology in addition to the UTME requirements.

(ii) BSC, BOS, etc in relevant programme.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Physics, Chemistry and Biology."
MICROBIOLOGY,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
NURSING SCIENCE,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,[Not Available],[Not Available],[Not Available]
PEACE AND CONFLICT RESOLUTION,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,[Not Available],[Not Available],[Not Available]
PHARMACOLOGY,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,[Not Available],[Not Available],[Not Available]
PHARMACY,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,"Three (3) 'A' Level passes in Chemistry, Biology/Zoology and Physics or Mathematics plus UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Physics, Chemistry and Biology."
PHYSICS,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
PHYSIOLOGY,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,"Two (2) 'A' Level passes chosen from Chemistry, Physics and Biology/Zoology.","Five (5) SSC credit passes in English Language, Maths, Physics, Chemistry and Biology.","Physics, Chemistry and Biology"
POLITICAL SCIENCE,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Government or History plus two (2) other Social Science/Arts subjects.
PUBLIC ADMINISTRATION,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
PUBLIC HEALTH,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,[Not Available],[Not Available],[Not Available]
SCIENCE LABORATORY,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
SOCIOLOGY,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Three (3) Social Science or Arts subjects.
STATISTICS,"GOMBE STATE UNIVERSITY, TUDUN WADA, GOMBE, GOMBE STATE",GSU,"Two (2) 'A' Level passes to include Mathematics or Statistics.

NCE credit in relevant subjects.","Five (5) SSC credit passes to include English Language, Mathematics and at least three (3) subjects from Physics, Statistics, Chemistry, Further Mathematics, Economics and Geography.","Mathematics and any two (2) of Physics, Chemistry and Economics."
