Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
BIOTECHNOLOGY,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
CHEMISTRY,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
ECONOMICS,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
ENGLISH LANGUAGE AND LITERATURE,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
FILM PRODUCTION,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
FINANCE,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
GEOGRAPHY,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
GEOLOGY,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
HISTORY AND DIPLOMATIC STUDIES,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
INDUSTRIAL CHEMISTRY,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
LINGUISTICS,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
MASS COMMUNICATION,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
MATHEMATICS,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
MICROBIOLOGY,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
MUSIC,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
PHYSICS,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
POLITICAL SCIENCE,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
PUBLIC ADMINISTRATION,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
STATISTICS,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
THEATRE ARTS,"KOGI STATE UNIVERSITY, KABBA, KOGI STATE",KSU-KABBA,[Not Available],[Not Available],[Not Available]
