Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
ADULT EDUCATION,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
AGRICULTURE SCIENCE,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
ARABIC,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
ARABIC STUDIES,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
AUTOMOBILE TECHNOLOGY,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
BIOLOGY,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
BUSINESS EDUCATION,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
CHEMISTRY,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
CHRISTIAN RELIGIOUS STUDIES,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
EARLY CHILDHOOD CARE EDUCATION,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
ECONOMICS,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
EDUCATION & ACCOUNTING,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
EDUCATION & BIOLOGY,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
EDUCATION & CHEMISTRY,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
EDUCATION & COMPUTER SCIENCE,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
EDUCATION & ECONOMICS,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
EDUCATION & FINE ARTS,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
EDUCATION & HOME ECONOMICS,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
EDUCATION & ISLAMIC STUDIES,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
EDUCATION & MATHEMATICS,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
EDUCATION & MUSIC,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
EDUCATION & PHYSICS,"LAGOS STATE UNIVERSITY OF EDUCATION, OTO/IJANIKIN, LAGOS STATE",LASUED,[Not Available],[Not Available],[Not Available]
