Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"LAGOS STATE UNIVERSITY, OJO, LAGOS STATE",LASU,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.?","Mathematics, Economics plus any Social Science subject."
AERONAUTIC & ASTRONAUTIC ENGINEERING,"LAGOS STATE UNIVERSITY, OJO, LAGOS STATE",LASU,"'A' Level passes in any two (2) of  Mathematics, Physics and Chemistry","'A' Level passes in any two (2) of  Mathematics, Physics and Chemistry","Mathematics, Chemistry and Physics."
AGRICULTURE,"LAGOS STATE UNIVERSITY, OJO, LAGOS STATE",LASU,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
ARABIC STUDIES,"LAGOS STATE UNIVERSITY, OJO, LAGOS STATE",LASU,Two (2) ‘A’ Level passes in Arabic and any other Arts subject.,"Five (5) SSC credit passes in English Language, Arabic and three (3) other relevant subjects.",Arabic and two (2) subjects from Arts and/or Social Sciences.
ARCHITECTURE,"LAGOS STATE UNIVERSITY, OJO, LAGOS STATE",LASU,[Not Available],[Not Available],[Not Available]
BANKING & FINANCE,"LAGOS STATE UNIVERSITY, OJO, LAGOS STATE",LASU,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BIOCHEMISTRY,"LAGOS STATE UNIVERSITY, OJO, LAGOS STATE",LASU,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BOTANY,"LAGOS STATE UNIVERSITY, OJO, LAGOS STATE",LASU,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUILDING,"LAGOS STATE UNIVERSITY, OJO, LAGOS STATE",LASU,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"LAGOS STATE UNIVERSITY, OJO, LAGOS STATE",LASU,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
