Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ADULT AND CONTINUING EDUCATION,"NIGER STATE UNIVERSITY OF EDUCATION, MINNA, NIGER STATE",NISUED,[Not Available],[Not Available],[Not Available]
AGRICULTURAL EXTENSION,"NIGER STATE UNIVERSITY OF EDUCATION, MINNA, NIGER STATE",NISUED,[Not Available],[Not Available],[Not Available]
AGRICULTURAL SCIENCE AND EDUCATION,"NIGER STATE UNIVERSITY OF EDUCATION, MINNA, NIGER STATE",NISUED,[Not Available],[Not Available],[Not Available]
ANIMAL PRODUCTION,"NIGER STATE UNIVERSITY OF EDUCATION, MINNA, NIGER STATE",NISUED,[Not Available],[Not Available],[Not Available]
AUTOMOBILE TECHNOLOGY EDUCATION,"NIGER STATE UNIVERSITY OF EDUCATION, MINNA, NIGER STATE",NISUED,[Not Available],[Not Available],[Not Available]
BUILDING TECHNOLOGY EDUCATION,"NIGER STATE UNIVERSITY OF EDUCATION, MINNA, NIGER STATE",NISUED,[Not Available],[Not Available],[Not Available]
BUSINESS EDUCATION,"NIGER STATE UNIVERSITY OF EDUCATION, MINNA, NIGER STATE",NISUED,[Not Available],[Not Available],[Not Available]
CREATIVE ARTS,"NIGER STATE UNIVERSITY OF EDUCATION, MINNA, NIGER STATE",NISUED,[Not Available],[Not Available],[Not Available]
EDUCATION ACCOUNTING,"NIGER STATE UNIVERSITY OF EDUCATION, MINNA, NIGER STATE",NISUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND ARABIC,"NIGER STATE UNIVERSITY OF EDUCATION, MINNA, NIGER STATE",NISUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND BIOLOGY,"NIGER STATE UNIVERSITY OF EDUCATION, MINNA, NIGER STATE",NISUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND CHEMISTRY,"NIGER STATE UNIVERSITY OF EDUCATION, MINNA, NIGER STATE",NISUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND CHRISTIAN RELIGIOUS STUDIES,"NIGER STATE UNIVERSITY OF EDUCATION, MINNA, NIGER STATE",NISUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND COMPUTER SCIENCE,"NIGER STATE UNIVERSITY OF EDUCATION, MINNA, NIGER STATE",NISUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND ECONOMICS,"NIGER STATE UNIVERSITY OF EDUCATION, MINNA, NIGER STATE",NISUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND ENGLISH LANGUAGE,"NIGER STATE UNIVERSITY OF EDUCATION, MINNA, NIGER STATE",NISUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND FRENCH,"NIGER STATE UNIVERSITY OF EDUCATION, MINNA, NIGER STATE",NISUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND GEOGRAPHY,"NIGER STATE UNIVERSITY OF EDUCATION, MINNA, NIGER STATE",NISUED,[Not Available],[Not Available],[Not Available]
