Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ADULT AND CONTINUING EDUCATION,"OLABISI ONABANJO UNIVERSITY, AGO-IWOYE, OGUN STATE",NISUED,[Not Available],[Not Available],[Not Available]
AGRICULTURAL EXTENSION,"OLABISI ONABANJO UNIVERSITY, AGO-IWOYE, OGUN STATE",NISUED,[Not Available],[Not Available],[Not Available]
AGRICULTURAL ECONOMICS & FARM MANAGEMENT,"OLABISI ONABANJO UNIVERSITY, AGO-IWOYE, OGUN STATE",OOU,"Two (2) ‘A’ Level passes in Chemistry and one of Zoology/Botany/Agricultural Science/Biology, Geography, Mathematics, Physics, Geology, Economics and Health Science.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and one of Geography, Physics and Economics.","Chemistry, Biology/ Agricultural Science and Mathematics or Physics."
AGRICULTURAL ENGINEERING,"OLABISI ONABANJO UNIVERSITY, AGO-IWOYE, OGUN STATE",OOU,'A' Level passes or equivalent in Physics and Mathematics.,"Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any from Introduction to Agricultural Science, Materials and Workshop Process and Machining, Tractor Layout Power Unit Under Carriage and Auto Electricity; Transmission System; Implement and Machine; Principles of Crop Husbandry and Land Use, Materials and Workshop Processes; Construction and Maintenance of Agricultural Machines; general Metal Work; General Wood Work and Building/Engineering Drawing.","Mathematics, Chemistry and Physics."
AGRICULTURE,"OLABISI ONABANJO UNIVERSITY, AGO-IWOYE, OGUN STATE",OOU,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
ANATOMY,"OLABISI ONABANJO UNIVERSITY, AGO-IWOYE, OGUN STATE",OOU,"Two (2) 'A' Level passes chosen from Biology, Chemistry and Physics in addition to the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and Physics."
APPLIED GEOPHYSICS,"OLABISI ONABANJO UNIVERSITY, AGO-IWOYE, OGUN STATE",OOU,[Not Available],[Not Available],[Not Available]
APPLIED ZOOLOGY,"OLABISI ONABANJO UNIVERSITY, AGO-IWOYE, OGUN STATE",OOU,"Two (2) 'A' Level passes or NCE in Biology, Zoology or Botany and one other Science subject","Five (5) SSC credit passes in English Language, Mathematics, Biology and two (2) other Science subject.","Biology and any two (2) of Physics, Chemistry and Mathematics."
BANKING & FINANCE,"OLABISI ONABANJO UNIVERSITY, AGO-IWOYE, OGUN STATE",OOU,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
BIOCHEMISTRY,"OLABISI ONABANJO UNIVERSITY, AGO-IWOYE, OGUN STATE",OOU,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
