Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.?","Mathematics, Economics plus any Social Science subject."
ADULT EDUCATION,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,[Not Available],[Not Available],[Not Available]
AGRICULTURAL ECONOMICS,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,"Two (2) ‘A’ Level passes in Chemistry and one of Zoology/Botany/Agricultural Science/Biology, Geography, Mathematics, Physics, Geology, Economics and Health Science.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and one of Geography, Physics and Economics.","Chemistry, Biology/ Agricultural Science and Mathematics or Physics."
AGRICULTURAL ENGINEERING,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,'A' Level passes or equivalent in Physics and Mathematics.,"Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any from Introduction to Agricultural Science, Materials and Workshop Process and Machining, Tractor Layout Power Unit Under Carriage and Auto Electricity; Transmission System; Implement and Machine; Principles of Crop Husbandry and Land Use, Materials and Workshop Processes; Construction and Maintenance of Agricultural Machines; general Metal Work; General Wood Work and Building/Engineering Drawing.","Mathematics, Chemistry and Physics."
AGRICULTURAL EXTENSION & RURAL DEVELOPMENT,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,Two (2) ‘A’ Level passes or equivalents in Chemistry and Biology/Agricultural Science/Botany/Zoology/Economics/Mathematics/Physics/Geography/Geology.,"Five (5) SSC credit passes  in English Language, Chemistry, Mathematics, Biology/Agricultural Science plus one of Physics, Geography and Economics.","Chemistry, Biology /Agriculture and Physics or Mathematics."
AGRONOMY,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,Two (2) ‘A’ Level passes in Chemistry/Biology/Botany/Zoology/Agricultural Science plus one of Mathematics/Physics and Geology/ Economics,"Five (5) SSC credit passes in Chemistry, English Language, Mathematics, Biology and Geography or Economics.","Chemistry, Biology or Agriculture and Physics or Mathematics."
ANATOMY,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,"Two (2) 'A' Level passes chosen from Biology, Chemistry and Physics in addition to the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and Physics."
ANIMAL SCIENCE,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,Two (2) ‘A’ level passes or its equivalent in Chemistry and one of Biology/Botany/Zoology/Agriculture Science/Geography/Geology/Mathematics/Economics.,"Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Biology/Agric Science and one of Physics, Geography or Economics.","Chemistry, Biology/Agriculture and Mathematics /Physics."
ARABIC LANGUAGE & LITERATURE,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,Two (2) 'A' Level passes in the relevant subjects.,Same as in Arabic Studies.,Same as in Arabic Studies.
ARCHITECTURE,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,[Not Available],[Not Available],[Not Available]
BANKING & FINANCE,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
BIOCHEMISTRY,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,[Not Available],[Not Available],[Not Available]
BUILDING,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,"'A' Level passes in Mathematics, Physics and Chemistry.","Five (5) SSC credit passes in Mathematics, English Language, Physics, Chemistry and any one of Geography, Economics, Arts and Technical drawing. For holders of NTC, the other relevant subjects could be Intro. to Building Construction, Bricklaying, Concreting, Walls, Floors and Ceiling Finishing, Building/Engineering Drawing, Joinery, Carpentry, Gas, Steam Work and Bronze Welding, Cold / Hot Water Supply, Sanitation and Drainage.","Mathematics, Physics and Chemistry"
BUSINESS ADMINISTRATION,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
BUSINESS EDUCATION,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,[Not Available],[Not Available],[Not Available]
CHEMICAL ENGINEERING,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,"'A' Level passes in Physics, Chemistry and Mathematics.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics and English Language and any other Science subject.","Mathematics, Physics and Chemistry."
CHEMISTRY,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
CHRISTIAN RELIGIOUS STUDIES,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,Two (2) ‘A’ Level passes/NCE to include CRS/Religious Studies,"Five (5) SSC credit passes in English Language, CRS and three (3) other relevant subjects.",Two (2) Arts subjects including CRS and any other subject.
CIVIL ENGINEERING,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,(i) 'A' Level passes in Physics and Mathematics. (ii) ND/HND upper credit at appropriate levels.,"Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and one Science subject","Physics, Chemistry and Mathematics"
COMMON & ISLAMIC LAW,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,Two (2) A’ level passes to include Islamic Studies or Arabic,Five (5)'O' Level credit passes in Arts or Social Sciences to include English Language and Islamic Studies or Arabic.,Any three (3) Arts or Social Science subjects including Arabic or Islamic Studies
COMPUTER SCIENCE,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
COOPERATIVE & RURAL DEVELOPMENT,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,[Not Available],[Not Available],[Not Available]
CRIMINOLOGY & SECURITY STUDIES,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,[Not Available],[Not Available],[Not Available]
DEMOGRAPHY & SOCIAL STATISTICS,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,[Not Available],[Not Available],[Not Available]
ECONOMICS,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
EDUCATION & BIOLOGY,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,Two (2) ‘A’ Level/NCE passes including Chemistry and one (1) other Science subject.,"Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & ECONOMICS,"OSUN STATE UNIVERSITY, OSOGBO, OSUN STATE",UNIOSUN,"(i) Two (2) 'A' Level passes in Economics and one (1) other relevant subject.

(ii) NCE merit/credit in Economics and one (1) other subject.","Five (5) 'O' Level credit passes to include English Language, Economics and Mathematics.","Economics, Mathematics and one (1) other subject from Geography/Physics, History, Government and Literature in English."
