Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
AGRICULTURAL SCIENCE AND EDUCATION,"SA'ADATU RIMI UNIVERSITY OF EDUCATION, KUMBOTSO, KANO STATE",SARUED,[Not Available],[Not Available],[Not Available]
BUSINESS EDUCATION,"SA'ADATU RIMI UNIVERSITY OF EDUCATION, KUMBOTSO, KANO STATE",SARUED,[Not Available],[Not Available],[Not Available]
EARLY CHILDHOOD EDUCATION,"SA'ADATU RIMI UNIVERSITY OF EDUCATION, KUMBOTSO, KANO STATE",SARUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND ARABIC,"SA'ADATU RIMI UNIVERSITY OF EDUCATION, KUMBOTSO, KANO STATE",SARUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND BIOLOGY,"SA'ADATU RIMI UNIVERSITY OF EDUCATION, KUMBOTSO, KANO STATE",SARUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND CHEMISTRY,"SA'ADATU RIMI UNIVERSITY OF EDUCATION, KUMBOTSO, KANO STATE",SARUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND COMPUTER SCIENCE,"SA'ADATU RIMI UNIVERSITY OF EDUCATION, KUMBOTSO, KANO STATE",SARUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND ENGLISH LANGUAGE,"SA'ADATU RIMI UNIVERSITY OF EDUCATION, KUMBOTSO, KANO STATE",SARUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND GEOGRAPHY,"SA'ADATU RIMI UNIVERSITY OF EDUCATION, KUMBOTSO, KANO STATE",SARUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND HAUSA,"SA'ADATU RIMI UNIVERSITY OF EDUCATION, KUMBOTSO, KANO STATE",SARUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND INTEGRATED SCIENCE,"SA'ADATU RIMI UNIVERSITY OF EDUCATION, KUMBOTSO, KANO STATE",SARUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND ISLAMIC STUDIES,"SA'ADATU RIMI UNIVERSITY OF EDUCATION, KUMBOTSO, KANO STATE",SARUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND MATHEMATICS,"SA'ADATU RIMI UNIVERSITY OF EDUCATION, KUMBOTSO, KANO STATE",SARUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND PHYSICS,"SA'ADATU RIMI UNIVERSITY OF EDUCATION, KUMBOTSO, KANO STATE",SARUED,[Not Available],[Not Available],[Not Available]
EDUCATION AND SOCIAL STUDIES,"SA'ADATU RIMI UNIVERSITY OF EDUCATION, KUMBOTSO, KANO STATE",SARUED,[Not Available],[Not Available],[Not Available]
HEALTH EDUCATION,"SA'ADATU RIMI UNIVERSITY OF EDUCATION, KUMBOTSO, KANO STATE",SARUED,[Not Available],[Not Available],[Not Available]
HOME ECONOMICS AND EDUCATION,"SA'ADATU RIMI UNIVERSITY OF EDUCATION, KUMBOTSO, KANO STATE",SARUED,[Not Available],[Not Available],[Not Available]
HUMAN KINETICS,"SA'ADATU RIMI UNIVERSITY OF EDUCATION, KUMBOTSO, KANO STATE",SARUED,[Not Available],[Not Available],[Not Available]
PRIMARY EDUCATION STUDIES,"SA'ADATU RIMI UNIVERSITY OF EDUCATION, KUMBOTSO, KANO STATE",SARUED,[Not Available],[Not Available],[Not Available]
